Error,Model Type,Data Subset
1.5178429374644546,$M = 5$,Training
1.7132032356557438,$M = 5$,"High-DoD
Test"
3.241099401841128,$M = 5$,"Low-DoD
Test"
1.505264460892814,$M = 5$,Training
1.7298842558024006,$M = 5$,"High-DoD
Test"
4.632474132472013,$M = 5$,"Low-DoD
Test"
1.4357208205282126,$M = 5$,Training
1.8325166050351516,$M = 5$,"High-DoD
Test"
5.894869419288833,$M = 5$,"Low-DoD
Test"
1.3556179829001525,$M = 5$,Training
1.5954170641715262,$M = 5$,"High-DoD
Test"
2.994941676830123,$M = 5$,"Low-DoD
Test"
1.4050154966433137,$M = 5$,Training
1.6269455056783797,$M = 5$,"High-DoD
Test"
3.8650103517433556,$M = 5$,"Low-DoD
Test"
1.4775782259593493,$M = 5$,Training
1.647155225853735,$M = 5$,"High-DoD
Test"
3.2086127214773494,$M = 5$,"Low-DoD
Test"
1.3720534824747364,$M = 5$,Training
1.5786827855704018,$M = 5$,"High-DoD
Test"
3.834393350049948,$M = 5$,"Low-DoD
Test"
1.3178320157061125,$M = 5$,Training
1.5986815846370281,$M = 5$,"High-DoD
Test"
5.732888182119963,$M = 5$,"Low-DoD
Test"
1.3668061644570586,$M = 5$,Training
1.597399994230726,$M = 5$,"High-DoD
Test"
4.510217332350288,$M = 5$,"Low-DoD
Test"
1.3602690469795444,$M = 5$,Training
1.4233803438190356,$M = 5$,"High-DoD
Test"
3.7178344935447476,$M = 5$,"Low-DoD
Test"
