Error,Model Type,Data Subset
0.13031055900621116,$M = 5$,Training
0.10008658008658006,$M = 5$,"High-DoD
Test"
0.09470899470899469,$M = 5$,"Low-DoD
Test"
0.16033126293995856,$M = 5$,Training
0.13264069264069264,$M = 5$,"High-DoD
Test"
0.1053363567649282,$M = 5$,"Low-DoD
Test"
0.10814793901750418,$M = 5$,Training
0.08450216450216448,$M = 5$,"High-DoD
Test"
0.07809798666941524,$M = 5$,"Low-DoD
Test"
0.06946922642574814,$M = 5$,Training
0.04839826839826838,$M = 5$,"High-DoD
Test"
0.11849790421218996,$M = 5$,"Low-DoD
Test"
0.09586674195369844,$M = 5$,Training
0.06813852813852811,$M = 5$,"High-DoD
Test"
0.06895485466914042,$M = 5$,"Low-DoD
Test"
0.1229230190099755,$M = 5$,Training
0.09177489177489173,$M = 5$,"High-DoD
Test"
0.06671888957603242,$M = 5$,"Low-DoD
Test"
0.08640880858272158,$M = 5$,Training
0.04632034632034629,$M = 5$,"High-DoD
Test"
0.09419088847660279,$M = 5$,"Low-DoD
Test"
0.060039525691699576,$M = 5$,Training
0.05740259740259737,$M = 5$,"High-DoD
Test"
0.10922558922558925,$M = 5$,"Low-DoD
Test"
0.09746659137963483,$M = 5$,Training
0.08458874458874456,$M = 5$,"High-DoD
Test"
0.1010485810485811,$M = 5$,"Low-DoD
Test"
0.06702239789196308,$M = 5$,Training
0.06779220779220776,$M = 5$,"High-DoD
Test"
0.10386174671888959,$M = 5$,"Low-DoD
Test"
