Error,Model Type,Data Subset
1.7837318184131494,$M = 5$,Training
2.0343837807806233,$M = 5$,"High-DoD
Test"
4.658718441482849,$M = 5$,"Low-DoD
Test"
1.6457707954245302,$M = 5$,Training
1.9400271014985162,$M = 5$,"High-DoD
Test"
7.1669582829873875,$M = 5$,"Low-DoD
Test"
1.6905657949088835,$M = 5$,Training
2.2426159246530264,$M = 5$,"High-DoD
Test"
9.29346697780574,$M = 5$,"Low-DoD
Test"
1.6914115805063545,$M = 5$,Training
2.026223833628842,$M = 5$,"High-DoD
Test"
4.6115828530037035,$M = 5$,"Low-DoD
Test"
1.6920497789455549,$M = 5$,Training
2.011406204167656,$M = 5$,"High-DoD
Test"
5.957440617093439,$M = 5$,"Low-DoD
Test"
1.7432345106643212,$M = 5$,Training
1.9822969096112966,$M = 5$,"High-DoD
Test"
4.959447638833681,$M = 5$,"Low-DoD
Test"
1.6896371787679967,$M = 5$,Training
2.0014147185063527,$M = 5$,"High-DoD
Test"
6.003882856250859,$M = 5$,"Low-DoD
Test"
1.6798989018940036,$M = 5$,Training
2.050702601867305,$M = 5$,"High-DoD
Test"
8.961618578398028,$M = 5$,"Low-DoD
Test"
1.6583976309139477,$M = 5$,Training
1.9423711434600972,$M = 5$,"High-DoD
Test"
7.003241850328283,$M = 5$,"Low-DoD
Test"
1.7403471134382762,$M = 5$,Training
1.7585559089400231,$M = 5$,"High-DoD
Test"
5.7936288487596785,$M = 5$,"Low-DoD
Test"
