Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25,Q_dch_interp_27,Q_dch_interp_29,Q_dch_interp_31,Q_dch_interp_33
-4.7815037724012335,-4.7310923908040605,-4.710154889675584,-4.6822742576881335,-4.653507572798414,-4.624113674153224,-4.59786495245336,-4.55308948010271,-4.519895265562099,-4.4846356830200405,-4.45331610449559,-4.417333135506476,-4.367203835924005,-4.325019057702402,-4.256099157724159,-4.2309655752825845,-4.267080272843648
-4.77956479491979,-4.729184678074975,-4.70832268511701,-4.68046496411351,-4.651668014289151,-4.622220799134251,-4.596058249369102,-4.551275273496445,-4.517920863547883,-4.482711335627607,-4.451429400858188,-4.415503929372828,-4.3653248920719285,-4.32316190504649,-4.2542169507812195,-4.229114834148686,-4.265318346778433
-4.77758651664614,-4.727237552965566,-4.70643993844631,-4.678610462430011,-4.6497918213517515,-4.620298105082401,-4.594216583507205,-4.549429336963609,-4.5159329070143945,-4.4807691900371625,-4.449522966789999,-4.413650015888124,-4.363425697750457,-4.321281322484655,-4.252311992582988,-4.227237655755583,-4.263531171644723
-4.775566635386491,-4.725248867281015,-4.704505037967967,-4.676708942115478,-4.647876815302384,-4.618343155750441,-4.592337740846231,-4.547549319901557,-4.5139282894547605,-4.478806239253278,-4.447593839060861,-4.411768558013674,-4.361503231308228,-4.3193743769037365,-4.250381281775835,-4.225331153725628,-4.261715925527603
-4.773502848947047,-4.723216472826506,-4.702516371986473,-4.674758592647747,-4.645920817457213,-4.616353514891154,-4.590419507364739,-4.545632871707645,-4.511903904362106,-4.47681947628053,-4.445639054440612,-4.409856718710779,-4.359554471093874,-4.317438135190578,-4.248421817006134,-4.223392441681174,-4.25986978651215
-4.771392855134012,-4.7211382214072195,-4.700472328806314,-4.672757603504659,-4.64392164913241,-4.614326746257308,-4.588459669041295,-4.543677641779222,-4.509856645229561,-4.4748058941234925,-4.443655649699089,-4.407911660940753,-4.357576395456032,-4.315469664232015,-4.246430596920255,-4.221418633244571,-4.257989932683449
-4.769234351753593,-4.719011964828339,-4.698371296731978,-4.670704164164056,-4.641877131644138,-4.61226041360168,-4.5864560118544535,-4.541681279513645,-4.507783405550251,-4.47276248578674,-4.441640661606128,-4.405930547664903,-4.355565982743341,-4.313466030914892,-4.2444046201645715,-4.219406842038177,-4.256073542126583
-4.767025036611994,-4.71683555489505,-4.696211664067957,-4.668596464103775,-4.639785086308568,-4.610152080677046,-4.584406321782779,-4.539641434308266,-4.505681078817304,-4.470686244274846,-4.439591126931565,-4.4039105418445335,-4.353520211304434,-4.311424302126048,-4.242340885385457,-4.217354181684341,-4.2541177929266345
-4.7647626075154195,-4.714606843412531,-4.693991819118734,-4.666432692801654,-4.637643334441862,-4.607999311236175,-4.58230838480483,-4.537555755560438,-4.503546558523845,-4.468574162592388,-4.437504082445239,-4.401848806440956,-4.3514360594879475,-4.309341544752323,-4.240236391229282,-4.215257765805417,-4.252119863168683
-4.762444762270077,-4.712323682185964,-4.6917101501888006,-4.6642110397355365,-4.635449697360192,-4.605799669031846,-4.580159986899172,-4.53542189266752,-4.501376738163003,-4.466423233743938,-4.435376564916987,-4.399742504415475,-4.349310505642516,-4.307214825680558,-4.238088136342417,-4.213114708023755,-4.250076930937812
