Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25
-4.789540194829274,-4.8007287167033885,-4.791710749694166,-4.784630127307316,-4.771787915816196,-4.760608352448814,-4.757133289591052,-4.7351766442669145,-4.716743723672818,-4.699837417847858,-4.68697846604295,-4.6682014798498725,-4.6318244399193755
-4.787564842481021,-4.798697868047605,-4.789685402937623,-4.782594722144947,-4.769778981321038,-4.758641952611027,-4.755135513067667,-4.733191768372442,-4.714742450182148,-4.6978037735624705,-4.684991319182046,-4.666242390910957,-4.629915806789831
-4.785551565918007,-4.796621766810357,-4.787614164280718,-4.780515666996864,-4.767720325769152,-4.756623588988973,-4.753093079508584,-4.731160350608615,-4.712695453971159,-4.6957327928572665,-4.682966208758124,-4.664243533391282,-4.627964360800714
-4.7834977572874555,-4.79449815213956,-4.785494853301422,-4.778390596918798,-4.76560999374275,-4.754551394980898,-4.75100374571599,-4.729080262894772,-4.710600571016657,-4.693621942876158,-4.6809006391121555,-4.662202538116877,-4.625967926114946
-4.781400808736588,-4.792324763183131,-4.783325289577707,-4.7762171469664825,-4.763446029824046,-4.75242350398504,-4.748865268492067,-4.726949377150247,-4.708455637295444,-4.6914686907630525,-4.6787921145851,-4.660117035913774,-4.623924326895443
-4.7792581124126245,-4.790099339088983,-4.781103292687544,-4.7739929521956475,-4.7612264785952565,-4.7502380493996474,-4.746675404638998,-4.724765565294378,-4.706258488784323,-4.689270503661857,-4.676638139517925,-4.657984657608003,-4.621831387305127
-4.777067060462785,-4.787819619005037,-4.778826682208907,-4.771715647662027,-4.758949384638593,-4.747993164622958,-4.7444319109589665,-4.722526699246503,-4.704006961460098,-4.687024848716483,-4.674436218251597,-4.655803034025596,-4.619686931506913
-4.774825045034292,-4.7854833420792025,-4.776493277719764,-4.769382868421353,-4.75661279253627,-4.74568698305322,-4.742132544254157,-4.720230650925958,-4.7016988912995705,-4.684729193070838,-4.672183855127077,-4.653569795992582,-4.617488783663724
-4.772529458274365,-4.7830882474594,-4.77410089879809,-4.766992249529355,-4.754214746870503,-4.7433176380886755,-4.7397750613267515,-4.71787529225208,-4.699332114279543,-4.682381003868831,-4.669878554485333,-4.651282574334996,-4.615234767938477
-4.7701776923302255,-4.7806320742935435,-4.771647365021853,-4.764541426041768,-4.751753292223504,-4.740883263127567,-4.737357218978936,-4.715458495144204,-4.696904466376821,-4.679977748254372,-4.667517820667328,-4.648938999878867,-4.61292270849409
