Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25,Q_dch_interp_27,Q_dch_interp_31
-4.769789155435791,-4.72555164210636,-4.69166661377839,-4.665302760640735,-4.631548206124559,-4.608186412174834,-4.585215461206868,-4.545616969758892,-4.510119684957646,-4.479040665876939,-4.443577490044216,-4.417163521203735,-4.386755381706755,-4.359812860701727,-4.307913157793281
-4.767848858915816,-4.723590751664498,-4.689758508058401,-4.663395269963598,-4.629650668478821,-4.606304320984775,-4.583351190045428,-4.543682051799093,-4.508213077844274,-4.477129866868058,-4.441651089741813,-4.41530407485675,-4.384923305472565,-4.357981573306313,-4.306122823832961
-4.765864696755577,-4.721586901050365,-4.687801991260928,-4.661440187257845,-4.627705782730077,-4.604375525639813,-4.5814412039803445,-4.541713631637946,-4.506273160443454,-4.475188236361968,-4.4396954139253415,-4.413409685880262,-4.383055629126157,-4.356115913095475,-4.304304223655298
-4.763834454846805,-4.71953800223212,-4.6857953057789015,-4.659435768331356,-4.625711813437836,-4.602398244359685,-4.579483665557794,-4.539709325735825,-4.504297509474703,-4.473213191712585,-4.437707782215759,-4.411477896687269,-4.381149903868114,-4.354213362486297,-4.302454603991585
-4.761755919081227,-4.717441967177918,-4.68373669400525,-4.657380268992011,-4.623667025161609,-4.600370695364136,-4.577476737323959,-4.537666750553095,-4.502283701657533,-4.471202150273811,-4.435685514234019,-4.409506249690773,-4.379203680899014,-4.35227140389586,-4.300571211573122
-4.759626875350571,-4.715296707855911,-4.6816243983329,-4.655271945047687,-4.621569682460901,-4.598291096872903,-4.575418581825014,-4.5355835225501275,-4.5002293137114595,-4.469152529399565,-4.4336259296010825,-4.407492287303772,-4.37721451141944,-4.35028751974125,-4.298651293131206
-4.757445109546566,-4.71310013623426,-4.679456661154782,-4.65310905230626,-4.619418049895224,-4.596157667105724,-4.57330736160714,-4.533457258187293,-4.498131922355994,-4.467061746443753,-4.431526347937903,-4.405433551939265,-4.375179946629971,-4.348259192439549,-4.296692095397136
-4.7552084075609375,-4.7108501642811165,-4.677231724863822,-4.650889846575613,-4.617210392024086,-4.593968624282342,-4.571141239216512,-4.531285573924959,-4.495989104310649,-4.4649272187602875,-4.4293840888654366,-4.403327586010254,-4.373097537731188,-4.346183904407839,-4.294690865102206
-4.752914555285416,-4.70854470396464,-4.674947831852951,-4.648612583663619,-4.6149449734069945,-4.591722186622497,-4.568918377199308,-4.529066086223497,-4.49379843629494,-4.4627463637030775,-4.42719647200464,-4.401171931929735,-4.370964835923672,-4.344059138063205,-4.292644848977717
-4.75056133861173,-4.706181667252983,-4.672603224515098,-4.646275519378161,-4.612620058603458,-4.589416572345926,-4.566636938101707,-4.526796411543273,-4.491557495028377,-4.460516598626035,-4.424960816976473,-4.3989641321107085,-4.3687793924080065,-4.3418823758227285,-4.290551293754965
