dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09,dQ_dV_11,dQ_dV_13,dQ_dV_15,dQ_dV_17,dQ_dV_19,dQ_dV_21,dQ_dV_23,dQ_dV_25,dQ_dV_27,dQ_dV_29,dQ_dV_31,dQ_dV_33
-0.158651276119843,-0.16158815375169933,-0.15217178154540528,-0.1527118553197651,-0.1528916517344215,-0.15213045042876483,-0.14881709572813068,-0.15162448450016733,-0.15064180525507123,-0.14786850090541054,-0.14751596329975142,-0.14756609483120475,-0.14577223448494842,-0.14273720455761493,-0.13607985807171538,-0.13304051335556694,-0.13208963108113275
-0.2133954472482453,-0.2174282710389202,-0.20532832795792041,-0.20591428590427352,-0.20592138052202252,-0.20478077104115963,-0.20046527777431836,-0.20384077707339054,-0.20237589369633593,-0.19869919181674492,-0.1981042003079932,-0.19805842786262748,-0.19565799579046633,-0.19168775517266712,-0.18313379714549805,-0.17914649250628514,-0.1776021555463195
-0.2692468882310602,-0.2744429472813517,-0.25989015929396825,-0.26045154334917964,-0.26016709874994615,-0.25858292429629937,-0.25331619592832,-0.25707112253247794,-0.2550445842440636,-0.2504749411595002,-0.24957401994036388,-0.24937391831885453,-0.2463617997121586,-0.24149499382191525,-0.23120887265696077,-0.22630763335069704,-0.22402574660163518
-0.2740291871171394,-0.27952051137173156,-0.2660440710851731,-0.2662825234064258,-0.2654458604794286,-0.2635634625327157,-0.2585364242808964,-0.2614165523526822,-0.25902186736802835,-0.2545014845835226,-0.2533047951670938,-0.252835278231862,-0.2498010398350516,-0.24511477543926508,-0.23559350825232744,-0.23084866255283032,-0.22790378834486094
-0.2795655363892138,-0.28539330614781877,-0.2730704957026205,-0.27295665770844835,-0.27152580768090506,-0.26932262574654264,-0.26455010481989805,-0.2664868167820714,-0.26369487790010454,-0.259226776740752,-0.25771270828771553,-0.25695106535581547,-0.25389125291590064,-0.24939821561032435,-0.24069919044077326,-0.23612447102136686,-0.23245912129547153
-0.2854102171363593,-0.29158602585941934,-0.28035825934247216,-0.2799011624944228,-0.27790297142377085,-0.27539364843115666,-0.2708592994089145,-0.2718921706980041,-0.26871931359372636,-0.26430009892485484,-0.26248423153425626,-0.26144046555448314,-0.2583536993042344,-0.25404367814536505,-0.2461286855126332,-0.24171904628919946,-0.2373556202649752
-0.2915632293586327,-0.298098670506613,-0.2879073620047848,-0.28711603776428096,-0.284577351707992,-0.2817765305865237,-0.2774640080478321,-0.27763261410049156,-0.2740951744489394,-0.2697214511358425,-0.26761936490670457,-0.26630347882788785,-0.26318837900008707,-0.2590511630443757,-0.2518819934679186,-0.2476323883563396,-0.2425932852533606
-0.29802457305603414,-0.3049312400893996,-0.2957178036894561,-0.29460128351807957,-0.2915489485335456,-0.28847127221271196,-0.284364230736719,-0.28370814698953384,-0.27982246046564113,-0.27549083337377167,-0.2731181084050263,-0.2715401051759727,-0.2683952920033903,-0.2644206703073906,-0.2579591143066523,-0.25386449722282123,-0.24817211626065047
-0.30479424822854073,-0.3120837346077224,-0.30378958439647474,-0.30235689975583,-0.2988177619004887,-0.2954778733097101,-0.2915599674755754,-0.29011876936511954,-0.28590117164387724,-0.2816082456385971,-0.27898046202926713,-0.2771503445987946,-0.27397443831416696,-0.27015219993438677,-0.26436004802883417,-0.26041537288864447,-0.2540921132868107
-0.3118722548761411,-0.3195561540616154,-0.31212270412593174,-0.31038288647749823,-0.306383791808787,-0.30279633387747257,-0.299051218264367,-0.29686448122724873,-0.2923313079837044,-0.2880736879303072,-0.28520642577944955,-0.28313419709637627,-0.2799258179324966,-0.27624575192536444,-0.2710847946344188,-0.2672850153537752,-0.26035327633184124
-0.319258592998915,-0.32734849845111286,-0.3207171628777701,-0.31867924368310696,-0.31424703825840655,-0.31042665391601076,-0.3068379831031052,-0.30394528257595543,-0.2991128694850545,-0.29488716024893624,-0.29179599965553965,-0.28949166266863813,-0.28624943085829957,-0.2827013262803234,-0.2781333541234631,-0.274473424618202,-0.26695560539578767
-0.3269532625967941,-0.33546076777619194,-0.3295729606519785,-0.32724597137267897,-0.3224075012494268,-0.31836883342539296,-0.31492026199183554,-0.31136117341122826,-0.30624585614792754,-0.3020486625944614,-0.29874918365751457,-0.2962227413155915,-0.29294527709154183,-0.28951892299929793,-0.28550572649595557,-0.2819806006819249,-0.2738991004786158
-0.3349562636697214,-0.34389296203682984,-0.33869009744857975,-0.33608306954619144,-0.3308651807818024,-0.32662287240553955,-0.3232980549305012,-0.31911215373305596,-0.31373026797236897,-0.3095581949668486,-0.30606597778541983,-0.3033274330372933,-0.3000133566323257,-0.29669854208227664,-0.2932019117518621,-0.2898065435449325,-0.28118376158032565
-0.34326759621775405,-0.3526450812330381,-0.34806857326760793,-0.345190538203633,-0.3396200768555332,-0.3351887708564732,-0.33197136191912474,-0.3271982235414271,-0.32156610495834465,-0.3174157573661319,-0.31374638203924404,-0.3108057378337094,-0.3074536694806398,-0.3042401835292253,-0.3012219098911942,-0.29795125320723626,-0.28880958870092854
-0.35188726024092604,-0.36171712536481665,-0.35770838810904027,-0.3545683773449923,-0.3486721894706306,-0.34406652877820537,-0.340940182957695,-0.33561938283636433,-0.3297533671058432,-0.32562134979234547,-0.3217903964189645,-0.3186576557047943,-0.3152662156364045,-0.3121438473401327,-0.30956572091399726,-0.3064147296688702,-0.2967765818404132
-0.3608152557391804,-0.37110909443216544,-0.36760954197287676,-0.3642165869702581,-0.3580215186270948,-0.35325614617073603,-0.35020451804622327,-0.3443756316178451,-0.3382920544148874,-0.3341749722454324,-0.33019802092460393,-0.3268831866506275,-0.32345099509965397,-0.3204095335150328,-0.31823334482022575,-0.315196972929823,-0.3050847409987682
-0.3700515827125514,-0.38082098843507317,-0.3777720348590947,-0.3741351670794643,-0.36766806432490284,-0.3627576230340538,-0.3597643671846868,-0.35346696988589205,-0.34718216688547726,-0.34307662472542694,-0.33896925555617374,-0.3354823306712092,-0.3320080078703995,-0.32903724205392565,-0.3272247816098798,-0.3242979829900719,-0.31373406617601635
