dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09,dQ_dV_11,dQ_dV_13,dQ_dV_15,dQ_dV_17,dQ_dV_19,dQ_dV_21,dQ_dV_23,dQ_dV_25,dQ_dV_27,dQ_dV_31
-0.1568047801363776,-0.15839433353648394,-0.15447754741005074,-0.1543849478341215,-0.15357962611075882,-0.15231653083368848,-0.15084629889136594,-0.15582894137723544,-0.1535657409993818,-0.15376998899683675,-0.15493057771312696,-0.14989882207986494,-0.14775493493548364,-0.14762792734679775,-0.1440471038733044
-0.21131456394942355,-0.21338378957761428,-0.20841049100204745,-0.2082465301608479,-0.20716047651910222,-0.2054472791576742,-0.20344155653274884,-0.2095175637695843,-0.20649256089260043,-0.20665206443306677,-0.20812858028467535,-0.20168440886041009,-0.1988574480822427,-0.19863174939503064,-0.1935717308301655
-0.26713511859946387,-0.2696516283019893,-0.263744529785669,-0.26348658572420186,-0.2621127474797685,-0.2599354358156503,-0.2573716673876386,-0.2642532193664988,-0.26046395801830197,-0.26052351778579086,-0.26228115830605137,-0.2545601600147959,-0.25106698790132265,-0.25071459647932637,-0.24402898824452493
-0.2728426574292939,-0.27522429243044827,-0.2698978938315235,-0.26953930778844326,-0.2681344871468696,-0.265890124467694,-0.26322005708055946,-0.2687593282194598,-0.2649555880105822,-0.2647530082289222,-0.2663456098107758,-0.25925397377814086,-0.2558374397901275,-0.25535310957474167,-0.24798840176546263
-0.2793965116142658,-0.28161620584652386,-0.2769033697896475,-0.27643167397161506,-0.27499158990849537,-0.2726771661378621,-0.26989432314812806,-0.27399449424216304,-0.2701784741730762,-0.26969989781141523,-0.2711184870599482,-0.26470479564741256,-0.2613725731516638,-0.2607482347550445,-0.2526515540529658
-0.2862441041633133,-0.28828513148728235,-0.28414202161923185,-0.283555436309598,-0.28207892777528515,-0.27970059065582975,-0.2768123580894212,-0.2795458765225021,-0.2757228488800934,-0.2749894184417826,-0.27624696126225673,-0.27048165739206526,-0.26723258056950955,-0.2664773592689926,-0.2576799733216717
-0.2933854350764136,-0.2952310693527238,-0.2916138493203107,-0.2909105948024148,-0.289396500747273,-0.28696039802163115,-0.2839741619044503,-0.28541347506051123,-0.28158871213167913,-0.2806215701199676,-0.28173103241762193,-0.2765845590121558,-0.27341746204363065,-0.2725404831165633,-0.26307365957154616
-0.30082050435357816,-0.30245401944280276,-0.29931885289284993,-0.2984971494500315,-0.2969443088244248,-0.29445658823528903,-0.29137973459320393,-0.29159728985614497,-0.28777606392784494,-0.2865963528459702,-0.2875707005261234,-0.28301350050764995,-0.27992721757403843,-0.2789376062977681,-0.2688326128026233
-0.3085493119948069,-0.3099539817575419,-0.3072570323368609,-0.30631510025247055,-0.30472235200676323,-0.30218916129674656,-0.29902907615567076,-0.29809732090941454,-0.2942849042686021,-0.29291376661984714,-0.29376596558774964,-0.28976848187851373,-0.28676184716073294,-0.2856687288126182,-0.27495683301486906
-0.31657185800008847,-0.31773095629697534,-0.3154283876523664,-0.31436444720969803,-0.3127306302942657,-0.31015811720601505,-0.3069221865918735,-0.30491356822032006,-0.3011152331539279,-0.2995738114415417,-0.3003168276024553,-0.2968495031247926,-0.2939213508037142,-0.29273385066112495,-0.2814463202082834
