dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09,dQ_dV_11,dQ_dV_13,dQ_dV_15,dQ_dV_17,dQ_dV_19,dQ_dV_21,dQ_dV_23,dQ_dV_25,dQ_dV_27,dQ_dV_29,dQ_dV_31
-0.15726516401034596,-0.16434388743311495,-0.16106985540131807,-0.16298376988094793,-0.16564794123331777,-0.16514639661751884,-0.16457558697322794,-0.15947322590109736,-0.16156422228253375,-0.1565057949433445,-0.15018487315282822,-0.15398389976669308,-0.151652022201992,-0.1481470106453652,-0.14658087909296796,-0.13648653628747157
-0.21159606850831106,-0.2214447406652834,-0.2173568088101303,-0.2197010800825706,-0.2232090005674999,-0.22241645196100449,-0.22154776310784383,-0.21479507855469165,-0.21710211253322967,-0.21054248463455777,-0.2023114628054584,-0.2068020143630389,-0.20368142875828138,-0.19944445851513948,-0.19727242958695912,-0.1839023094087415
-0.2670743573127198,-0.27989405984724947,-0.2751320758294111,-0.2778021181475947,-0.28213105294263496,-0.2809860346354017,-0.27976561996535976,-0.27138716149667547,-0.2736678020397514,-0.26569994276936415,-0.2556557633863902,-0.26054831398563294,-0.25663282805709,-0.25188486547184213,-0.24906571989218607,-0.23246051002868942
-0.27200789473337184,-0.2857817755308588,-0.2816739913062065,-0.2838546373867303,-0.2880781602805996,-0.28664338635805964,-0.2851701549430004,-0.27690861752644197,-0.27805517697322557,-0.27052281349208446,-0.26093750238471786,-0.26447516305576074,-0.2605317373978096,-0.2568150829938418,-0.2538006594837611,-0.23739557358600225
-0.2777448162654082,-0.29252410527977873,-0.2891155593586291,-0.29077327670363506,-0.2948831254853417,-0.29314102301248113,-0.29139855855754604,-0.28325976896843486,-0.2831941732524911,-0.276126655710084,-0.2670260570262485,-0.2691160881871156,-0.2651417011104968,-0.26252987842858605,-0.25930935853988335,-0.24310771107942628
-0.2838351100409,-0.29954394439859017,-0.2967963516731857,-0.2979600023991679,-0.3019609542997387,-0.29993176930744314,-0.29793623644197853,-0.2899102746688982,-0.2886988952515367,-0.28206986296416975,-0.273419165789403,-0.2741416033924793,-0.27013636943964914,-0.2685725175083349,-0.26516096460978816,-0.24913655655251432
-0.29027877605983576,-0.30684129288737266,-0.30471636824992177,-0.3054148144732835,-0.3093116467237792,-0.3070156252429797,-0.3047831885963433,-0.2968601346278774,-0.2945693429703397,-0.28835243525428494,-0.2801168286741472,-0.2795517086718974,-0.27551574238522114,-0.27494300023308826,-0.27135547769341883,-0.25548211000530047
-0.29707581432213603,-0.31441615074604673,-0.3128756090888146,-0.31313771292595904,-0.31693520275749737,-0.3143925908189772,-0.3119394150206404,-0.3041093488453839,-0.30080551640892284,-0.2949743725804638,-0.28711904568046975,-0.2853464040253812,-0.28127981994724677,-0.2816413266028576,-0.2778928977908436,-0.2621443714377506
-0.30422622482789163,-0.3222685179745782,-0.32127407418983017,-0.3211286977572286,-0.3248316224009045,-0.32206266603548106,-0.31940491571482427,-0.31165791732140635,-0.3074074155672861,-0.30193567494276297,-0.2944258168084389,-0.2915256894528852,-0.2874286021257376,-0.2886674966176315,-0.28477322490208506,-0.26912334084986467
-0.31173000757709135,-0.330398394573058,-0.3299117635529797,-0.3293877689671149,-0.33300090565393253,-0.3300258508925367,-0.32717969067889496,-0.3195058400559333,-0.31437504044540676,-0.3092363423410916,-0.3020371420579977,-0.2980895649544209,-0.2939620889206708,-0.29602151027739865,-0.29199645902708654,-0.27641901824165416
-0.31958716256966685,-0.33880578054149746,-0.3387886771783201,-0.33791492655556116,-0.3414430525166381,-0.3382821453901329,-0.33526373991289804,-0.32765311704896477,-0.3217083910432621,-0.3168763747754611,-0.3099530214291008,-0.3050380305299768,-0.30088028033200087,-0.303703367582159,-0.29956260016584796,-0.2840314036130849
-0.3277976898056522,-0.34749067587978294,-0.3479048150657832,-0.34671017052261277,-0.3501580629890441,-0.3468315495282127,-0.3436570634168334,-0.33609974830051215,-0.3294074673608975,-0.32485577224590545,-0.3181734549218163,-0.31237108617957576,-0.30818317635980746,-0.31171306853191255,-0.30747164831843754,-0.2919604969641796
-0.3363615892850817,-0.3564530805879941,-0.357260177215403,-0.3557735008682585,-0.35914593707109366,-0.3556740633068671,-0.35235966119064416,-0.34484573381054134,-0.33747226939833586,-0.33317453475242476,-0.3266984425361898,-0.3200887319032063,-0.31587077700406785,-0.3200506131266935,-0.31572360348477563,-0.30020629829498374
-0.34527886100788696,-0.3656929946661308,-0.3668547636271683,-0.3651049175924982,-0.3684066747627867,-0.36480968672605063,-0.3613715332344214,-0.3538910735790637,-0.34590279715550876,-0.3418326622950304,-0.33552798427211883,-0.3281909677008571,-0.3239430822647819,-0.3287160013664675,-0.32431846566487366,-0.30876880760544057
-0.35454950497412485,-0.3752104181141363,-0.3766885743010903,-0.37470442069532056,-0.37794027606419156,-0.3742384197857518,-0.3706926795481309,-0.36323576760610193,-0.3546990506324392,-0.3508301548736882,-0.344662080129649,-0.33667779357257355,-0.33240009214193833,-0.3377092332512462,-0.3332562348587316,-0.3176480248955614
