Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15
-4.7398815487039485,-4.667431696633507,-4.606127797773,-4.566773014619055,-4.4950658529570875,-4.42984667229422,-4.348926164720506,-4.02778763582954
-4.7380621087483545,-4.665320966235608,-4.603962790173972,-4.564609041657477,-4.492842872680504,-4.427549585522008,-4.346560403273077,-4.025414795018007
-4.736197451158393,-4.663163018315198,-4.601753846821682,-4.562396983739996,-4.4905726198470965,-4.425208086644802,-4.3441576104218305,-4.023008367683796
-4.734285295874201,-4.660955887842071,-4.599498853257199,-4.560134919845726,-4.488253059691229,-4.422819870504491,-4.341715007678074,-4.020565394501204
-4.732323362835916,-4.658697609786024,-4.597195695021592,-4.557820928953772,-4.485882157447262,-4.4203826319429655,-4.339229816553123,-4.018082916144531
-4.730309371983678,-4.656386219116854,-4.594842257655933,-4.555453090043241,-4.483457878349561,-4.41789406580211,-4.336699258558292,-4.015557973288075
-4.728241043257622,-4.654019750804356,-4.5924364267012905,-4.553029482093246,-4.480978187632489,-4.415351866923815,-4.334120555204894,-4.0129876066061385
-4.726116096597889,-4.651596239818331,-4.589976087698734,-4.550548184082893,-4.478441050530408,-4.4127537301499675,-4.331490928004244,-4.010368856773015
-4.723932251944615,-4.649113721128571,-4.587459126189331,-4.548007274991291,-4.475844432277683,-4.410097350322458,-4.3288075984676535,-4.00769876446301
-4.721687229237938,-4.646570229704875,-4.584883427714154,-4.545404833797547,-4.473186298108677,-4.407380422283174,-4.326067788106436,-4.004974370350417
-4.719378748417999,-4.643963800517039,-4.582246877814272,-4.542738939480771,-4.470464613257755,-4.404600640874,-4.3232687184319065,-4.002192715109539
-4.717004529424934,-4.641292468534858,-4.579547362030753,-4.540007671020071,-4.467677342959279,-4.40175570093683,-4.320407610955381,-3.9993508394146713
-4.714562292198881,-4.638554268728133,-4.576782765904669,-4.537209107394556,-4.464822452447609,-4.398843297313549,-4.317481687188168,-3.9964457839401177
-4.712049756679979,-4.635747236066657,-4.573950974977088,-4.534341327583336,-4.461897906957114,-4.395861124846045,-4.314488168641585,-3.993474589360172
-4.709464642808365,-4.6328694055202275,-4.5710498747890815,-4.531402410565516,-4.4589016717221535,-4.392806878376208,-4.311424276826942,-3.9904342963491377
-4.7068046705241775,-4.629918812058642,-4.568077350881717,-4.5283904353202065,-4.455831711977093,-4.389678252745926,-4.308287233255559,-3.9873219455813107
-4.704067559767554,-4.626893490651696,-4.565031288796062,-4.525303480826517,-4.452685992956296,-4.386472942797085,-4.305074259438742,-3.9841345777309933
-4.701251030478635,-4.623791476269188,-4.5619095740731925,-4.522139626063554,-4.449462479894123,-4.383188643371577,-4.301782576887809,-3.9808692334724816
-4.698352802597558,-4.620610803880911,-4.558710092254172,-4.518896950010428,-4.4461591380249414,-4.3798230493112875,-4.298409407114072,-3.9775229534800767
-4.695370596064458,-4.617349508456665,-4.555430728880074,-4.515573531646246,-4.442773932583112,-4.376373855458104,-4.294951971628846,-3.974092778428076
-4.692302130819476,-4.614005624966246,-4.552069369491965,-4.512167449950117,-4.439304828802998,-4.372838756653918,-4.291407491943446,-3.9705757489907794
-4.6891451268027495,-4.610577188379451,-4.5486238996309165,-4.508676783901149,-4.435749791918964,-4.369215447740615,-4.287773189569181,-3.9669689058424855
-4.685897303954415,-4.607062233666075,-4.545092204837998,-4.5050996124784515,-4.432106787165372,-4.365501623560085,-4.28404628601737,-3.963269289657494
-4.682556382214612,-4.603458795795914,-4.541472170654279,-4.501434014661133,-4.428373779776587,-4.361694978954215,-4.280224002799322,-3.959473941110104
-4.679120081523481,-4.599764909738769,-4.537761682620829,-4.497678069428302,-4.424548734986971,-4.357793208764895,-4.276303561426354,-3.955579900874615
-4.675586121821158,-4.5959786104644325,-4.533958626278718,-4.493829855759065,-4.420629618030889,-4.35379400783401,-4.272282183409779,-3.951584209625325
-4.671952223047779,-4.5920979329427025,-4.5300608871690144,-4.489887452632535,-4.4166143941427025,-4.349695071003451,-4.2681570902609085,-3.9474839080365327
-4.668216105143483,-4.588120912143376,-4.526066350832789,-4.485848939027815,-4.412501028556777,-4.345494093115107,-4.263925503491058,-3.943276036782539
-4.664375488048411,-4.584045583036249,-4.52197290281111,-4.481712393924017,-4.408287486507474,-4.341188769010863,-4.259584644611542,-3.9389576365376406
-4.6604280917027,-4.579869980591118,-4.517778428645048,-4.477475896300249,-4.403971733229158,-4.336776793532609,-4.255131735133672,-3.934525747976138
-4.656371636046486,-4.575592139777781,-4.513480813875672,-4.47313752513562,-4.399551733956191,-4.332255861522234,-4.250563996568763,-3.9299774117723314
-4.652203841019908,-4.571210095566033,-4.509077944044054,-4.468695359409237,-4.395025453922937,-4.327623667821626,-4.245878650428127,-3.925309668600517
-4.647922426563106,-4.5667218829256715,-4.5045677046912616,-4.46414747810021,-4.3903908583637605,-4.322877907272673,-4.24107291822308,-3.9205195591349975
-4.643525112616215,-4.5621255368264935,-4.499947981358362,-4.459491960187645,-4.385645912513024,-4.318016274717262,-4.236144021464935,-3.915604124050068
-4.639009619119376,-4.557419092238295,-4.495216659586431,-4.454726884650655,-4.38078858160509,-4.313036464997284,-4.231089181665004,-3.9105604040200306
-4.634373666012725,-4.5526005841308725,-4.490371624916531,-4.449850330468345,-4.375816830874324,-4.307936172954625,-4.2259056203346015,-3.9053854397191836
-4.629614973236402,-4.547668047474023,-4.485410762889736,-4.444860376619824,-4.370728625555088,-4.302713093431173,-4.220590558985044,-3.900076271821826
-4.6247312607305435,-4.542619517237545,-4.480331959047117,-4.4397551020842005,-4.365521930881744,-4.297364921268818,-4.215141451668583,-3.894629941002256
-4.619720248435288,-4.537453028391232,-4.475133098929739,-4.434532585840585,-4.360194712088659,-4.291889351309447,-4.209557414319498,-3.8890437496144257
-4.614579656290774,-4.532166615904879,-4.4698120680786735,-4.429190906868083,-4.354744935286922,-4.286284081552742,-4.203838286094824,-3.883317544661755
-4.609307204237139,-4.526758314748291,-4.464366752097214,-4.423728144145827,-4.349170906184661,-4.280547341333042,-4.197983909124168,-3.8774526059025884
-4.603900612214522,-4.521226159891254,-4.458795821754817,-4.418142630581419,-4.343471782880818,-4.274678483899951,-4.191994125537142,-3.8714502291267157
-4.598357676467328,-4.515568325222657,-4.453100693693698,-4.412433701520547,-4.337646855075963,-4.268677005470899,-4.1858687774633525,-3.8653117101239225
-4.592678494518702,-4.509784851196953,-4.447283384463017,-4.406600939642733,-4.331695412470672,-4.262542402263312,-4.179607707032411,-3.8590383446839995
-4.58686581706657,-4.503877113869764,-4.441345910611926,-4.400643927627499,-4.325616744765511,-4.256274170494627,-4.1732107563739245,-3.8526314285967325
-4.5809225419393425,-4.497846518279223,-4.435290288689586,-4.394562248154367,-4.319410141661054,-4.249871806382269,-4.166677767617502,-3.84609225765191
-4.5748515669654255,-4.491694469463467,-4.429118535245155,-4.38835548390286,-4.313074892857872,-4.243334806143669,-4.160008582892753,-3.8394221276393203
-4.5686557899732225,-4.485422372460631,-4.422832666827786,-4.3820232175525,-4.306610288056537,-4.236662665996261,-4.153203044329286,-3.8326223343487498
-4.562338108791143,-4.4790316323088515,-4.416434699986641,-4.375565031782812,-4.30001561695762,-4.22985488215747,-4.1462609940567114,-3.825694173569988
-4.555901421247589,-4.472523654046263,-4.409926651270874,-4.368980509273312,-4.293290169261692,-4.22291095084473,-4.139182274204636,-3.8186389410928214
-4.549348625170971,-4.4658998427110035,-4.403310537229644,-4.362269232703527,-4.286433234669323,-4.215830368275468,-4.131966726902669,-3.8114579327070395
-4.5426826183896925,-4.4591616033412045,-4.396588374412107,-4.355430784752978,-4.279444102881088,-4.208612630667119,-4.1246141942804195,-3.8041524442024284
-4.5359062987321614,-4.452310340975004,-4.389762179367421,-4.348464748101189,-4.2723220635975565,-4.201257234237107,-4.117124518467497,-3.796723771368778
-4.529022564026783,-4.445347460650538,-4.3828339685966,-4.34137070542768,-4.265066406519298,-4.1937636752028675,-4.10949754159351,-3.789173209995874
-4.5220343121019635,-4.438274367405944,-4.375803160548144,-4.334148239411973,-4.257676421346887,-4.186131449781828,-4.1017331057880675,-3.781502055873505
-4.514943668337809,-4.4310897379362375,-4.36865959458337,-4.326796932733592,-4.250151397780894,-4.17836005419142,-4.093831053180779,-3.77371160479146
-4.507737198186382,-4.423776227816909,-4.361390902896382,-4.319316368072059,-4.242490625521889,-4.170448984649071,-4.085791225901251,-3.765802685844474
-4.500387042382254,-4.416310663396339,-4.353984717681282,-4.311706128106894,-4.234693394270446,-4.162397737372215,-4.077613019628261,-3.7577684827968394
-4.492864796662335,-4.408669862668919,-4.346428671132178,-4.303965795517621,-4.226758993727133,-4.15420580857828,-4.0692916340111145,-3.74959593582354
-4.485142056763543,-4.400830643629042,-4.338710395443168,-4.296094952983763,-4.218686711924984,-4.145872309691611,-4.060819969226979,-3.7412718023628293
-4.477190418422792,-4.392769824271099,-4.330817522808362,-4.288093183184842,-4.210473313635028,-4.137392125530713,-4.052190901885745,-3.732782839852958
-4.468981477376993,-4.384464222589478,-4.322737685421859,-4.279957174473263,-4.202107962675115,-4.128757526781944,-4.0433973085973,-3.7241158057321786
-4.460486829363063,-4.375890656578574,-4.314458515445857,-4.271668933509543,-4.193578397377925,-4.119960745357767,-4.034432065971539,-3.7152574574387423
-4.451678070117916,-4.367025984861973,-4.305967008975426,-4.2632058229302014,-4.18487235607613,-4.11099401317064,-4.025288050618349,-3.7061945524109006
-4.442531918865337,-4.357852044895645,-4.297247893517682,-4.2545452035525475,-4.175977577102412,-4.101849562133023,-4.015958139147623,-3.6969138480869055
-4.433049268796753,-4.3483603776767,-4.288285391028447,-4.245664436193893,-4.1668817987894435,-4.092519624157375,-4.006435208169248,-3.687402101905008
-4.423238136039729,-4.338543643824091,-4.279063723463546,-4.236540881671544,-4.1575727594698995,-4.082996431156156,-3.9967121342931167,-3.6776460713034607
-4.4131065377291705,-4.328394503956776,-4.2695671127788035,-4.227151900802811,-4.14803819747646,-4.0732722150418255,-3.98678179412912,-3.6676325137205157
-4.402662490999985,-4.317905618693707,-4.259779780930039,-4.217474854405004,-4.1382658511418,-4.063339207726845,-3.9766370642871465,-3.6573481865944246
-4.39191401298708,-4.307069648653838,-4.249685949873079,-4.2074871032954295,-4.128243458798595,-4.053189641123669,-3.966270821377088,-3.6467798473634367
-4.380869120825363,-4.295879254456124,-4.239269841563747,-4.197170595299107,-4.117958758779522,-4.042815747144763,-3.9556759420088343,-3.635914253465807
-4.36953583164974,-4.284327280533585,-4.228516179334365,-4.186534357715906,-4.107399489417257,-4.032209757702582,-3.9448452787793515,-3.6247381623397863
-4.357922162595118,-4.2724217154719675,-4.2174257617997455,-4.1755973200398415,-4.096553389044477,-4.021363904709588,-3.9337672598362463,-3.6132383314236245
-4.346036130796406,-4.260196754747396,-4.206018484303409,-4.164378426479873,-4.085408195993859,-4.010270128814524,-3.922420750518511,-3.601401518155576
-4.333885753388509,-4.247689201007631,-4.194315353479576,-4.152896621244956,-4.073951648598077,-3.9989117925028057,-3.910783368787179,-3.5892144799738914
