Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11
-4.740315642614371,-4.6417395023017125,-4.603067201840977,-4.580774691820815,-4.548196294079317,-4.480146456178097
-4.738434099532775,-4.639724477522912,-4.601063897864267,-4.578743264507219,-4.54610761126653,-4.478102035762769
-4.736501029178325,-4.637668442166659,-4.5990154738282545,-4.576669487406991,-4.54398318985321,-4.476017074315808
-4.73451438945347,-4.635569007220442,-4.596919755911167,-4.574551093374341,-4.5418204664056745,-4.473889229809661
-4.732472138260664,-4.6334237836717405,-4.594774570291236,-4.572385815263482,-4.539616877490239,-4.471716160216777
-4.730372233502351,-4.631230382508041,-4.592577743146685,-4.570171385928626,-4.537369859673222,-4.469495523509602
-4.728212633080984,-4.628986414716825,-4.590327100655744,-4.5679055382239815,-4.53507684952094,-4.467224977660586
-4.725991294899011,-4.626689491285581,-4.588020468996642,-4.565586005003767,-4.53273528359971,-4.4649021806421745
-4.72370617685888,-4.624337223201789,-4.585655674347607,-4.563210519122185,-4.530342598475845,-4.4625247904268175
-4.721355236863044,-4.621927221452935,-4.583230542886867,-4.560776813433454,-4.527896230715667,-4.46009046498696
-4.718936432813951,-4.619457097026503,-4.580742900792655,-4.558282620791783,-4.52539361688549,-4.457596862295053
-4.716447722614048,-4.6169244609099795,-4.578190574243191,-4.555725674051385,-4.522832193551631,-4.455041640323542
-4.713887064165789,-4.614326924090843,-4.575571389416708,-4.553103706066471,-4.520209397280408,-4.452422457044875
-4.711252415371621,-4.611662097556584,-4.572883172491435,-4.550414449691253,-4.517522664638137,-4.4497369704315
-4.708541734133991,-4.608927592294682,-4.570123749645599,-4.547655637779944,-4.514769432191133,-4.446982838455866
-4.7057529783553536,-4.606121019292623,-4.56729094705743,-4.544825003186751,-4.511947136505715,-4.444157719090419
-4.702884105938156,-4.603239989537891,-4.564382590905152,-4.5419202787658906,-4.5090532141481985,-4.441259270307608
-4.699933074784847,-4.60028211401797,-4.561396507366998,-4.538939197371573,-4.506085101684901,-4.43828515007988
-4.696897842797874,-4.597245003720346,-4.558330522621196,-4.53587949185801,-4.50304023568214,-4.435233016379683
-4.693776367879691,-4.594126269632499,-4.555182462845971,-4.5327388950794125,-4.49991605270623,-4.432100527179463
-4.690566607932746,-4.5909235227419165,-4.551950154219554,-4.529515139889992,-4.49670998932349,-4.4288853404516715
-4.687266520859488,-4.587634374036082,-4.548631422920172,-4.526205959143962,-4.493419482100236,-4.425585114168753
-4.6838740645623655,-4.584256434502478,-4.545224095126056,-4.522809085695532,-4.490041967602783,-4.422197506303158
-4.68038719694383,-4.580787315128592,-4.541725997015432,-4.519322252398918,-4.48657488239745,-4.418720174827331
-4.676803875906328,-4.577224626901906,-4.5381349547665275,-4.515743192108325,-4.483015663050555,-4.415150777713723
-4.673122059352313,-4.573565980809902,-4.534448794557572,-4.512069637677969,-4.479361746128409,-4.41148697293478
-4.66933970518423,-4.5698089878400685,-4.530665342566797,-4.508299321962062,-4.475610568197334,-4.407726418462949
-4.665454771304534,-4.565951258979887,-4.526782424972424,-4.504429977814815,-4.471759565823646,-4.40386677227068
-4.661465215615669,-4.561990405216842,-4.522797867952688,-4.5004593380904385,-4.467806175573662,-4.39990569233042
-4.657368996020086,-4.5579240375384185,-4.518709497685814,-4.496385135643145,-4.463747834013695,-4.395840836614615
-4.653164070420236,-4.5537497669321,-4.5145151403500305,-4.492205103327146,-4.459581977710066,-4.391669863095714
-4.648848396718568,-4.5494652043853705,-4.510212622123567,-4.487916973996654,-4.45530604322909,-4.387390429746166
-4.644419932817532,-4.5450679608857145,-4.505799769184652,-4.48351848050588,-4.450917467137083,-4.3830001945384165
-4.639876636619576,-4.540555647420616,-4.50127440771151,-4.479007355709037,-4.446413686000365,-4.378496815444915
-4.635216466027149,-4.535925874977559,-4.496634363882375,-4.474381332460334,-4.441792136385248,-4.373877950438109
-4.630437378942704,-4.531176254544027,-4.49187746387547,-4.469638143613985,-4.437050254858052,-4.369141257490444
-4.625537333268685,-4.526304397107506,-4.487001533869029,-4.4647755220242,-4.432185477985095,-4.364284394574373
-4.6205142869075475,-4.521307913655479,-4.4820044000412755,-4.459791200545194,-4.427195242332688,-4.3593050196623375
-4.6153661977617375,-4.516184472709664,-4.476883889373694,-4.454682912031175,-4.4220769914435625,-4.354200790726789
-4.610091110533673,-4.510933013375013,-4.471637988730573,-4.4494483893363554,-4.416828592820898,-4.3489693657401745
-4.604687754017002,-4.505553716731542,-4.466265036715639,-4.4440853653149475,-4.411448574216548,-4.343608402674942
-4.599155181111535,-4.500046815670949,-4.460763418762872,-4.438591572821165,-4.405935520542993,-4.338115559503539
-4.593492446660551,-4.494412543084921,-4.455131520306258,-4.432964789554899,-4.4002880167127145,-4.3324884941984125
-4.587698605507331,-4.488651131865155,-4.449367726779778,-4.427203167074967,-4.394504647638192,-4.326724864732012
-4.581772712495154,-4.482762814903343,-4.4434704236174145,-4.421305042674931,-4.388583998231906,-4.320822329076782
-4.575713822467298,-4.476747825091179,-4.437437996253149,-4.415268754992587,-4.382524653406336,-4.314778545205175
-4.569520990267039,-4.470606395320356,-4.431268830120964,-4.4090926426657315,-4.3763251980739675,-4.308591171089635
-4.563193270737662,-4.4643387584825645,-4.424961310654845,-4.402775044332159,-4.369984217147277,-4.302257864702612
-4.55672971872244,-4.457945147469501,-4.4185138232887695,-4.3963142986296635,-4.363500295538744,-4.2957762840165525
-4.550129389064656,-4.451425795172857,-4.411924753456722,-4.3897087441960405,-4.356872018160852,-4.289144087003904
-4.543391336607586,-4.444780934484326,-4.405192486592685,-4.3829567196690835,-4.350097969926081,-4.2823589316371145
-4.536514616194513,-4.4380107982956005,-4.398315408130642,-4.376056563686591,-4.34317673574691,-4.275418475888633
-4.529498282668711,-4.4311146132381,-4.391291903504574,-4.369006614886351,-4.336106900535822,-4.2683203777309044
-4.522341390873462,-4.424085585566655,-4.384120358148464,-4.361805211906167,-4.328887049205296,-4.261062295136381
-4.515042995652044,-4.416914692367234,-4.3767991574962934,-4.354450693383828,-4.3215157666678135,-4.2536418860775065
-4.5076021518477365,-4.409592907107121,-4.3693266869820455,-4.34694139795713,-4.313991637835855,-4.24605680852673
-4.500017914303818,-4.4021112032536065,-4.361701332039701,-4.339275664263869,-4.3063132476219,-4.238304720456499
-4.492289337863569,-4.394460554273976,-4.353921478103246,-4.331451830941839,-4.29847918093843,-4.230383279839264
-4.4844154773702645,-4.386631933635514,-4.345985510606658,-4.323468236628835,-4.290488022697926,-4.222290144647467
-4.476395387667187,-4.37861631480551,-4.337891814983923,-4.315323219962652,-4.282337595715543,-4.2140222496281075
-4.468228123597614,-4.370404671251247,-4.329638776669022,-4.307015119581084,-4.274015523739281,-4.205568498235103
-4.4599108966235175,-4.361986184538913,-4.321222135064996,-4.298542176232734,-4.265502152870033,-4.196912785659445
-4.4514031493268496,-4.353338977149801,-4.312618477007546,-4.289893267425317,-4.256777672337165,-4.188038931069241
-4.442628960961091,-4.344436956741984,-4.3037959603894596,-4.281040287693361,-4.2478222713700475,-4.178930753632597
-4.433511049162004,-4.335254022673366,-4.294722706561199,-4.27195333822336,-4.238616139198046,-4.169572072517618
-4.423972131565347,-4.325764074301848,-4.285366836873225,-4.262602520201803,-4.2291394650505305,-4.159946706892413
-4.413960601991652,-4.315941010985334,-4.275696472676001,-4.252957934815181,-4.219372438156867,-4.150038475925087
-4.403528061307634,-4.305758732081722,-4.265679735319993,-4.242989683249989,-4.209295247746424,-4.1398311987837495
-4.3927520383319045,-4.295191136948918,-4.255284746155659,-4.232667866692714,-4.19888808304857,-4.129308694636506
-4.381710058560288,-4.284212346724737,-4.244479712579991,-4.221962586329852,-4.188131133292671,-4.118454782651462
-4.370453860968466,-4.272813278262083,-4.2332461261231815,-4.2108468090408495,-4.177004587708098,-4.107253281996726
-4.358947208874043,-4.261013114857472,-4.221592988690579,-4.199316757412507,-4.165488635524216,-4.095688011840402
-4.347135120280568,-4.248833752457108,-4.2095327155494875,-4.187379949163935,-4.153563465970394,-4.0837427913506
-4.334962613191592,-4.236297087007203,-4.19707772196721,-4.1750439768869265,-4.141209268276001,-4.0714014396954274
-4.322374705610661,-4.22342501445396,-4.184240423211052,-4.16231643317327,-4.128408635475244,-4.0586480953425275
-4.30931902293481,-4.210235250493972,-4.171032732501949,-4.149204894477356,-4.115165291287699,-4.0454687695689815
-4.295836863171988,-4.196699857559056,-4.157457624407512,-4.135712315451276,-4.101493928582206,-4.031850154332908
-4.282086937676183,-4.182762783769037,-4.143510381089124,-4.121830675576726,-4.087409333574497,-4.017778942560271
-4.268229265628702,-4.168367565332728,-4.129186033674101,-4.107550360763014,-4.072926292480291,-4.003241827177033
-4.254247840345956,-4.153457738458949,-4.11447961328977,-4.092861756919458,-4.058063103912144,-3.98822550110916
-4.239928536366805,-4.138052283077013,-4.099382327705496,-4.077754972311564,-4.042863066851998,-3.9727166572826134
-4.225052501791981,-4.122646201677816,-4.083848989895343,-4.062207059923446,-4.027380192642603,-3.956701988623359
-4.209522677645121,-4.107896800571807,-4.067814264439669,-4.046176674868961,-4.011514064794573,-3.9401681880573576
-4.19335727349188,-4.091567068527962,-4.051212602421771,-4.029621086526859,-3.994725375864469,-3.9231040536956274
-4.176579028093805,-4.072592322765844,-4.033979332015492,-4.012497555438412,-3.977162385174152,-3.9055286147714807
-4.159210914262384,-4.054729466189805,-4.016072928397554,-3.9947588256499915,-3.959696481340962,-3.887482242916708
-4.141294350428379,-4.036375765773455,-3.997476797390552,-3.9763457788101815,-3.9412830472150815,-3.868889183018519
-4.122901992316545,-4.016658613380578,-3.9781755792525404,-3.9571973724429585,-3.921847895297186,-3.8494663150799915
-4.103386235280978,-3.9960718515168248,-3.9581538939308807,-3.9372525640723053,-3.901694268676967,-3.8290778795506584
-4.0811584755035595,-3.974951515526258,-3.9373862031532063,-3.916463330228947,-3.880871784737677,-3.8080466760771254
-4.06179009209732,-3.953136740147365,-3.915820377934343,-3.8948734556963025,-3.859345444206075,-3.7867726476040033
-4.040067505686458,-3.9304134886571496,-3.8933999918077764,-3.8725662094158375,-3.8370811382469174,-3.7654256103044714
-4.0167275954146815,-3.9066669061252823,-3.87009015471952,-3.849602069527188,-3.814055923088075,-3.7427931788535775
-3.9925206786530083,-3.8820507205553803,-3.8459474314504205,-3.825806026925724,-3.790254121049783,-3.718055067423071
-3.9673301589110532,-3.856763680742276,-3.8210524092960836,-3.80086477224376,-3.7656210737697298,-3.693171718533221
-3.941108865607342,-3.8308073599266628,-3.7953649307295176,-3.7749914669988662,-3.7397350397818183,-3.667476339036343
-3.9138094345253474,-3.802904492438701,-3.7685303567466404,-3.746532383758201,-3.7119807203285458,-3.64041729448094
-3.8853825505209203,-3.7751179868539446,-3.740211051885738,-3.7197439378472184,-3.684674628739977,-3.6127088572012376
-3.85578417876205,-3.7451912908182163,-3.7111157941041544,-3.6903479271859507,-3.655445571200283,-3.583761175108268
-3.825377846188517,-3.7151485522380296,-3.6802023325902007,-3.660712781120886,-3.6251456939784843,-3.5542488369170573
-3.7922836566942517,-3.6832178103155333,-3.6499076687602345,-3.6297452525451344,-3.5944004132491143,-3.523397884135553
-3.76138707228594,-3.650674054290283,-3.617586563581981,-3.597034400580066,-3.5628286565554124,-3.4908010936495613
-3.7236941415356437,-3.6170253491097024,-3.584935613251232,-3.5646845219796135,-3.5299208187842037,-3.459310996070227
-3.6926676526175246,-3.582544289181853,-3.551219327850749,-3.5305301684551242,-3.496619874814795,-3.426803995337757
-3.657669120653589,-3.548178761013823,-3.5148691139848087,-3.4956707707226498,-3.4613255650490315,-3.391071500657389
-3.6208372567651286,-3.512503771452705,-3.4801317845371624,-3.4597521229208414,-3.4272533157385077,-3.3588442390049362
-3.583389384289122,-3.474522874559474,-3.443653588667882,-3.4245755563379854,-3.3917436818062896,-3.323146480724502
-3.5445638986066608,-3.437600415301796,-3.407359685849439,-3.3873257699792307,-3.355761897088519,-3.2883070873577815
-3.508205838740866,-3.400793480252522,-3.37032241196181,-3.351109150825208,-3.3190166255955447,-3.2524932835800406
-3.4677526329934514,-3.3606579890921373,-3.3320482957885873,-3.312939326700983,-3.2800381682435455,-3.2161659212058136
-3.4268466455079025,-3.324358171433903,-3.2939511747525394,-3.2762685061596226,-3.2442315212314963,-3.1793998334530476
-3.388160045551766,-3.284722143238812,-3.25550483897308,-3.236072207969045,-3.2069267578273215,-3.14188501951349
-3.3484631233847284,-3.2441894534681652,-3.2162725677956,-3.1978704558850564,-3.1683493464172643,-3.1048234264885037
-3.3069474909902237,-3.205662943769797,-3.176866817376072,-3.159204768485812,-3.1298525276282883,-3.067342945275391
-3.26646527534207,-3.1658097148492215,-3.136753886881423,-3.1207843802970765,-3.091675064731841,-3.0296703594855567
-3.220842520907528,-3.1259311627383966,-3.0986207795926988,-3.0820779667025935,-3.0547968827854537,-2.991903193009366
-3.183564290633428,-3.0857670123186263,-3.058143228388283,-3.0426655379325105,-3.015221311429163,-2.9542906529211783
-3.1420627451648233,-3.0455255578065343,-3.018825698786032,-3.0030582806911563,-2.9764293824573933,-2.916627222309783
-3.1001838594768287,-3.0054467833158,-2.980083122793127,-2.965063977822443,-2.9385662146002662,-2.879461147199096
-3.058646877701629,-2.9661987456659498,-2.9409483653808146,-2.9261869223183337,-2.9000392783857563,-2.843327624581989
-3.017488637551812,-2.9268272817252163,-2.90229279335628,-2.8874410694180366,-2.862339896948243,-2.8053467869394106
-2.9769195284446885,-2.8878685013673016,-2.8647848782009877,-2.85042734016502,-2.825669801624886,-2.769163725830717
-2.935350878444931,-2.848092702974788,-2.8258724530063164,-2.8119105381101948,-2.7854620893103275,-2.731350360519878
-2.894056657273164,-2.8124904255798167,-2.7895114157930405,-2.774967925861782,-2.750881727821069,-2.6964053309557103
-2.8552312991203537,-2.774378818024102,-2.7523593498747383,-2.739166461501446,-2.715280221501188,-2.6616675378969448
-2.8168875646587193,-2.737042352333173,-2.7152169611596455,-2.7030946700268266,-2.6794630240361,-2.6268043626057573
-2.778999407888107,-2.702345019781373,-2.681139705741907,-2.667763246562081,-2.6447938029721403,-2.5922315424557927
-2.740427957610608,-2.6667543162126113,-2.6444288879019666,-2.631650318562961,-2.6100277516291754,-2.558957102940802
-2.702037631711877,-2.632030967397633,-2.6107430711676725,-2.597336281995437,-2.5760352844930887,-2.5254139114896885
-2.666539445286563,-2.5976926728250866,-2.576871610646829,-2.5641230761134772,-2.5426496952191546,-2.492771599764959
-2.631679646214656,-2.563790307917792,-2.5425008498544774,-2.530086917274827,-2.509673128319134,-2.4599682653496133
-2.5970442961814024,-2.53057764476759,-2.5096693174068405,-2.49864080747688,-2.476907303499529,-2.429123824707891
-2.561598957813459,-2.4980040501594307,-2.477398793104704,-2.465320620714578,-2.4444789063864207,-2.396626613759958
-2.528027611978471,-2.465675074950622,-2.4450325948213627,-2.4338101827193164,-2.412895611885682,-2.3651952432091554
-2.4948772049185415,-2.4334590721554314,-2.413837203695799,-2.402029612470498,-2.381546276950232,-2.334232969042166
-2.4616599141432984,-2.4037249085919132,-2.3818161832541485,-2.3702147991827482,-2.350384963019694,-2.3034427197950897
-2.4285766683356385,-2.3706656671175463,-2.3497817517268884,-2.3386758250474404,-2.318799727108201,-2.2721649757974824
-2.3958379782950088,-2.3381821935288425,-2.3181690987117394,-2.307091555129501,-2.287090921033042,-2.2408198734852416
-2.3635701280372863,-2.3074461101976014,-2.2867609579019454,-2.2749157525943637,-2.2554375799687167,-2.20804821514644
-2.330552909804651,-2.2751478637850626,-2.254424185580381,-2.243186776451678,-2.2236597081604037,-2.1781745905280414
-2.2991764892574755,-2.242430971980915,-2.2223741888968425,-2.2117995664091996,-2.1916915217302417,-2.1459789355807195
-2.263938824686263,-2.2098105226112326,-2.1895013905459093,-2.178726952619119,-2.159211618291909,-2.1132953240447456
-2.2315725195433913,-2.1769552387904434,-2.1577807285832975,-2.1457678596972514,-2.125608715150278,-2.0802850045562553
-2.198296133865849,-2.1437222728128074,-2.123024044743286,-2.112602547540026,-2.092114573177487,-2.046985774364753
-2.1639125166327413,-2.1101923132461318,-2.090947487861195,-2.0786801700842497,-2.0594445453524584,-2.013393079913489
-2.130075530876967,-2.0756069074143557,-2.056427206132888,-2.0452134710459244,-2.024572495037095,-1.9795023296915137
-2.0952785010668937,-2.040886757815211,-2.0209584593199366,-2.009844432586946,-1.990362038669715,-1.9450767800549196
-2.05989462936471,-2.006202544251933,-1.986189767254657,-1.9748995663352493,-1.9545396362521155,-1.909752282788948
-2.0227280119549533,-1.9662580566999308,-1.9501436857303178,-1.939021293203546,-1.913530362555108,-1.8711699234036323
-1.9857932534901719,-1.9336538443747544,-1.9137029546124191,-1.9031400994940348,-1.88327137336235,-1.8371274941576996
-1.9498984940810205,-1.8967396694761705,-1.8774396589893405,-1.8663685235279488,-1.845331420632748,-1.8010304002657131
-1.9115207450015712,-1.8596522329793015,-1.8386261054953876,-1.8263257836160744,-1.8071884816393398,-1.7631304354364692
-1.87276237612543,-1.82116334489597,-1.8018438578950338,-1.7903031285822917,-1.7699275829477517,-1.72500988044885
-1.8337867358567332,-1.7828553105249991,-1.7632560236698802,-1.7521207765799642,-1.7300000195939325,-1.6862874412595734
-1.7936520425958598,-1.7430669139521453,-1.723431934031207,-1.7118555222290124,-1.6919507337853457,-1.6485663814989402
-1.752784724271868,-1.7027459789679418,-1.6841796547670682,-1.6719936254223504,-1.651772344647941,-1.6078984222880002
-1.7121813655556883,-1.6626820728916205,-1.642597266709137,-1.6309142496231783,-1.6117529379920819,-1.5677478166352257
-1.6709310547925513,-1.6223261569971554,-1.6033253840077144,-1.5923531746156812,-1.5709959654460066,-1.528057710314403
-1.6291877515956967,-1.5816123724019087,-1.562101550734451,-1.551562593239889,-1.5314366524717362,-1.4885309126730324
-1.5879455532735671,-1.5407144953471648,-1.52257816173757,-1.5108879444886474,-1.48977190727475,-1.4483562198824795
-1.5450865866168364,-1.500773183109703,-1.481993611093706,-1.4711752057983425,-1.4500409594580324,-1.408721984935161
-1.5022609096313646,-1.4602730909048307,-1.442345889634438,-1.4316701212477776,-1.4099049319196235,-1.3695068082768835
-1.4606467870952184,-1.421789848897514,-1.4039981358146527,-1.3920091229399927,-1.3713893636286993,-1.3309665165597688
-1.420745424125517,-1.3838962213444321,-1.364853851620027,-1.3542980655432815,-1.3333966685074148,-1.2941506366271336
-1.3820757550365421,-1.3450231669587809,-1.3272943429485748,-1.316211729131844,-1.295879757160627,-1.2565746406494784
-1.3430788208375108,-1.309667353088175,-1.292010442505792,-1.2802649669238266,-1.2586797954455249,-1.2213259821255111
-1.306137452572047,-1.27412384226036,-1.2566356893955382,-1.2453234823196548,-1.2236414226458248,-1.185673010986794
-1.2689548316974806,-1.2405902466193395,-1.2216844429009266,-1.2110251723011713,-1.1901323663679524,-1.1515473535816543
-1.2367614620879332,-1.207373744023541,-1.1898649077522918,-1.177531323734758,-1.1566618042723082,-1.1200354066736176
-1.2038629842193485,-1.1762301225613199,-1.1573746943255807,-1.1457883859844558,-1.1243717078515216,-1.087872136191116
-1.17208717266701,-1.1447012418727076,-1.1264496618206556,-1.1148626875351328,-1.0933254973293414,-1.0568976705008073
-1.1418751523475112,-1.1149905741138009,-1.096333490599611,-1.0837183015827079,-1.062673250401669,-1.026254891902285
