Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17
-4.738328143453271,-4.651535398529271,-4.617311078262332,-4.594923500263207,-4.56504325577076,-4.5197514034328945,-4.494382566990161,-4.417857337745984,-4.264267802864846
-4.7364455482510035,-4.649565015409026,-4.615308345336982,-4.592916802789656,-4.563029941136334,-4.517660100015494,-4.492299851673992,-4.415788006771848,-4.2622033685245935
-4.734517791600868,-4.647548556407417,-4.6132621273994285,-4.590865762563516,-4.560966248329906,-4.515534012810391,-4.490182206417623,-4.413686495135083,-4.2601009829204495
-4.732542505043326,-4.645483901955202,-4.611170189532093,-4.588768201485231,-4.558850728765063,-4.513370505453052,-4.488027015689055,-4.411550059150717,-4.2579581750017255
-4.730517320118832,-4.643368932483135,-4.609030296817402,-4.586621941455238,-4.556681933855396,-4.511166941578945,-4.485831663956295,-4.40937595513377,-4.255772473717732
-4.728439868367846,-4.641201528421976,-4.606840214337781,-4.58442480437398,-4.554458415014499,-4.508920684823537,-4.483593535687342,-4.407161439399264,-4.253541408017782
-4.726307781330823,-4.63897957020248,-4.604597707175653,-4.582174612141894,-4.55217872365596,-4.5066290988222955,-4.481310015350203,-4.404903768262226,-4.251262506851183
-4.724118690548225,-4.636700938255403,-4.602300540413441,-4.579869186659426,-4.549841411193371,-4.504289547210688,-4.478978487412877,-4.402600198037679,-4.248933299167249
-4.721870227560505,-4.634363513011505,-4.599946479133574,-4.577506349827011,-4.547445029040322,-4.501899393624183,-4.476596336343369,-4.400247985040645,-4.246551313915293
-4.719560023908122,-4.631965174901537,-4.5975332884184725,-4.575083923545092,-4.544988128610405,-4.4994560016982454,-4.47416094660968,-4.397844385586149,-4.244114080044621
-4.717185711131536,-4.629503804356262,-4.595058733350564,-4.572599729714108,-4.542469261317208,-4.496956735068343,-4.471669702679816,-4.395386655989214,-4.241619126504549
-4.714744920771201,-4.6269772818064325,-4.5925205790122705,-4.5700515902345,-4.539886978574327,-4.494398957369944,-4.469119989021775,-4.392872052564864,-4.239063982244385
-4.712235284367576,-4.624383487682809,-4.589916590486019,-4.56743732700671,-4.537239831795349,-4.491780032238515,-4.466509190103565,-4.390297831628121,-4.236446176213441
-4.709654433461122,-4.6217203024161435,-4.587244532854234,-4.564754761931177,-4.534526372393865,-4.489097323309523,-4.463834690393185,-4.387661249494012,-4.23376323736103
-4.706999999592293,-4.618985606437196,-4.584502171199339,-4.56200171690834,-4.5317451517834675,-4.4863481942184364,-4.46109387435864,-4.384959562477558,-4.231012694636461
-4.7042696143015466,-4.616177280176721,-4.581687270603759,-4.559176013838643,-4.528894721377748,-4.483530008600723,-4.45828412646793,-4.382190026893782,-4.228192076989047
-4.701460909129342,-4.613293204065479,-4.5787975961499185,-4.556275474622523,-4.525973632590294,-4.480640130091848,-4.455402831189061,-4.379349899057708,-4.225298913368096
-4.698571515616137,-4.610331258534224,-4.575830912920242,-4.553297921160422,-4.522980436834699,-4.477675922327279,-4.452447372990035,-4.3764364352843605,-4.222330732722924
-4.695599065302385,-4.607289324013713,-4.572784985997155,-4.55024117535278,-4.5199136855245525,-4.474634748942485,-4.449415136338854,-4.373446891888764,-4.219285064002837
-4.692541189728551,-4.604165280934704,-4.5696575804630815,-4.5471030591000385,-4.5167718484431525,-4.471513973572931,-4.446303505703521,-4.370378525185939,-4.216159436157149
-4.689395520435089,-4.600957009727951,-4.5664464614004485,-4.543881394302637,-4.51355243282657,-4.468310959854087,-4.4431098655520405,-4.367228591490911,-4.212951378135172
-4.686159688962455,-4.597662390824214,-4.563149393891676,-4.540574002861016,-4.510252318395652,-4.465023071421417,-4.439831600352412,-4.363994347118705,-4.2096584188862165
-4.682831326851109,-4.594279304654247,-4.5597641430191915,-4.537178706675615,-4.50686837411593,-4.4616476719103915,-4.436466094572642,-4.360673048384341,-4.206278087359592
-4.679408065641506,-4.590805631648809,-4.556288473865419,-4.533693327646875,-4.503397468952934,-4.458182124956474,-4.43301073268073,-4.3572619516028475,-4.202807912504611
-4.675887536874109,-4.587239252238656,-4.552720151512784,-4.530115687675237,-4.499836471872194,-4.454623794195137,-4.4294628991446805,-4.353758313089243,-4.199245423270586
-4.67226737208937,-4.5835780468545435,-4.549056941043712,-4.5264436086611415,-4.496182251839239,-4.450970043261844,-4.425819978432496,-4.350159389158554,-4.195588148606825
-4.66854520282775,-4.57981989592723,-4.545296607540625,-4.522674912505029,-4.492431677819605,-4.4472182357920635,-4.42207935501218,-4.346462436125804,-4.191833617462643
-4.664718660629705,-4.57596267988747,-4.541436916085949,-4.518807421107339,-4.488581618778816,-4.443365735421262,-4.418238413351734,-4.342664710306014,-4.187979358787348
-4.660785377035693,-4.572004279166025,-4.537475631762109,-4.5148389563685125,-4.484628943682406,-4.439409905784908,-4.414294537919162,-4.3387634680142115,-4.184022901530254
-4.656742983586171,-4.567942574193646,-4.533410519651528,-4.5107673401889885,-4.4805705214959035,-4.435348110518466,-4.410245113182466,-4.334755965565417,-4.179961774640668
-4.652589111821599,-4.563775445401093,-4.5292393448366335,-4.50659039446921,-4.4764032211848415,-4.431177713257407,-4.406087523609649,-4.330639459274655,-4.175793507067905
-4.6483213932824325,-4.559500773219122,-4.524959872399847,-4.502305941109617,-4.472123911714747,-4.426896077637197,-4.401819153668714,-4.3264112054569495,-4.171515627761275
-4.643937459509129,-4.55511643807849,-4.520569867423596,-4.497911802010647,-4.467729462051153,-4.4225005672933015,-4.397437387827664,-4.3220684604273245,-4.16712566567009
-4.639434942042149,-4.550620320409954,-4.516067094990303,-4.493405799072744,-4.46321674115959,-4.41798854586119,-4.392939610554501,-4.317608480500803,-4.16262114974366
-4.634811472421947,-4.546010300644269,-4.511449320182394,-4.488785754196347,-4.458582618005587,-4.41335737697633,-4.38832320631723,-4.313028521992408,-4.157999608931296
-4.630064682188982,-4.541284259212194,-4.506714308082292,-4.484049489281895,-4.453823961554676,-4.408604430202016,-4.38358555958385,-4.308325841217163,-4.15325857218231
-4.625192202883712,-4.536440076544485,-4.501859895545827,-4.479194826229829,-4.448937670770865,-4.403727497041262,-4.378724054822369,-4.303497694490093,-4.148395568446012
-4.620191666046593,-4.531475633071898,-4.496884652680961,-4.474219586940591,-4.443921816078753,-4.398725064254936,-4.373736076500784,-4.2985413611769,-4.143408126671715
-4.615060703218085,-4.526388809225191,-4.491787578692544,-4.469121593314622,-4.438775992727279,-4.393595683506522,-4.368619009287625,-4.293454619156323,-4.138293775808729
-4.609796945938644,-4.521177485435119,-4.486567678197956,-4.463898667357089,-4.433499898179918,-4.388337906459509,-4.363370537596605,-4.2882357278447625,-4.133050044806366
-4.604398025748729,-4.515839645473217,-4.481223955814588,-4.458548861577959,-4.42809322990014,-4.382950284777384,-4.357989247655996,-4.282882966312945,-4.1276744626139354
-4.598861598358487,-4.510374805541454,-4.475755416159817,-4.453070947980712,-4.422555685351415,-4.377431370123636,-4.352473894601946,-4.277394613631598,-4.122164558180752
-4.5931869067414555,-4.5047836544641795,-4.470161063851028,-4.447463838560331,-4.416886961997213,-4.371779714161751,-4.346823233570598,-4.27176894887145,-4.116517860456122
-4.58737573636662,-4.499066910825506,-4.464439903505604,-4.441726445311802,-4.411086757301008,-4.36599386855522,-4.341036019698102,-4.266004251103227,-4.110731898389362
-4.581430101314549,-4.493225293209541,-4.458590939740929,-4.435857680230106,-4.405154768726271,-4.36007238496753,-4.335111008120602,-4.2600987993976585,-4.104804200929777
-4.57535201566581,-4.487259520200395,-4.452613177174384,-4.42985645531023,-4.399090693736469,-4.354013815062167,-4.329046953974247,-4.2540508728254665,-4.098732297026684
-4.569143493500972,-4.4811703103821765,-4.446505620423354,-4.42372168254716,-4.392894229795078,-4.347816710502619,-4.322842612395181,-4.247858750457386,-4.092513715629392
-4.562806548900608,-4.474958382338995,-4.440267274105222,-4.417452273935877,-4.386565074365565,-4.341479622952376,-4.316496738519554,-4.241520711364139,-4.086145985687211
-4.556343195945282,-4.468624454654961,-4.433897142837371,-4.4110471414713635,-4.380102924911405,-4.335001104074927,-4.310008087483507,-4.235035034616453,-4.079626636149454
-4.549755448715565,-4.46216924591418,-4.427394231237182,-4.404505197148608,-4.373507478896066,-4.328379705533755,-4.303375414423193,-4.228399999285057,-4.072953195965431
