Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23
-4.796935723150645,-4.727702040449497,-4.687556362151651,-4.657721326107181,-4.609795576651222,-4.5676066796461035,-4.5294724923585,-4.389045961167044,-4.118847681175128,-3.9231507096246507,-3.9936795427719214
-4.794944004573047,-4.725619440384416,-4.685475224744782,-4.655605414576786,-4.607650568543446,-4.565428487472981,-4.527345283171607,-4.386832962766364,-4.1165444749707385,-3.920820859226451,-3.9915175845757536
-4.7929005223982255,-4.723491069796169,-4.6833482983953445,-4.653448398768031,-4.605465903047781,-4.563212728035504,-4.525184245200284,-4.384581412008977,-4.11420553565572,-3.9184572640335245,-3.9893003023492755
-4.790803112887289,-4.7213146653187295,-4.681173348878777,-4.651247811953817,-4.603239011168128,-4.56095667936821,-4.522986356085162,-4.382288321623713,-4.111827607564288,-3.9160565732142882,-3.987025409054146
-4.788649612301345,-4.71908796358608,-4.678948141970518,-4.6490011874070465,-4.6009673239083835,-4.558657619505627,-4.52074859346686,-4.379950704339397,-4.109407435030644,-3.9136154359371553,-3.9846906176520194
-4.7864378569015065,-4.7168087012322,-4.676670443446006,-4.646706058400618,-4.59864827227245,-4.556312826482295,-4.518467934986011,-4.377565572884861,-4.106941762389005,-3.9111305013705366,-3.9822936411045506
-4.784165682948885,-4.7144746148910635,-4.674338019080678,-4.644359958207434,-4.596279287264227,-4.553919578332743,-4.516141358283234,-4.375129939988929,-4.104427333973574,-3.908598418682846,-3.9798321923733964
-4.781830926704586,-4.712083441196654,-4.671948634649977,-4.641960420100393,-4.593857799887614,-4.551475153091503,-4.513765840999161,-4.372640818380429,-4.101860894118563,-3.906015837042499,-3.9773039844202134
-4.779431424429725,-4.709632916782947,-4.669500055929337,-4.639504977352397,-4.591381241146514,-4.548976828793115,-4.511338360774416,-4.37009522078819,-4.099239187158181,-3.9033794056179065,-3.974706730206655
-4.77696501238541,-4.707120778283922,-4.666990048694197,-4.636991163236345,-4.5888470420448195,-4.546421883472107,-4.508855895249622,-4.3674901599410365,-4.096558957426636,-3.9006857735774827,-3.9720381426943767
-4.774429526832749,-4.704544762333558,-4.664416378719998,-4.634416511025141,-4.586252633586437,-4.543807595163014,-4.506315422065406,-4.364822648567803,-4.09381694925814,-3.8979315900896396,-3.9692959348450367
