Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13
-4.806721306992445,-4.675022942979054,-4.602983952220171,-4.549367260071276,-4.4291384900229085,-4.1640112458135885,-3.636749840605261
-4.804704572168836,-4.6728600509434015,-4.60079626353195,-4.547161189900458,-4.426847177050319,-4.161777326044472,-3.6348588294235
-4.802637954048679,-4.670655651267104,-4.598569245240657,-4.544916566151811,-4.424520866446911,-4.159505025063321,-3.6329163076693183
-4.800519182737487,-4.668407310013029,-4.59630033569532,-4.542630779653078,-4.422156687777807,-4.157191695317696,-3.6309205053940667
-4.7983459883407695,-4.666112593244046,-4.5939869732449585,-4.540301221232004,-4.419751770608133,-4.154834689255154,-3.6288696526490956
-4.796116100964044,-4.663769067023021,-4.591626596238598,-4.537925281716325,-4.41730324450301,-4.1524313593232565,-3.6267619794857553
-4.793827250712818,-4.661374297412827,-4.589216643025261,-4.535500351933787,-4.414808239027567,-4.149979057969566,-3.6245957159553996
-4.791477167692606,-4.6589258504763285,-4.586754551953969,-4.533023822712132,-4.412263883746927,-4.147475137641643,-3.6223690921093796
-4.789063582008922,-4.656421292276396,-4.584237761373746,-4.530493084879099,-4.40966730822621,-4.144916950787044,-3.620080337999046
-4.786584223767275,-4.6538581888758985,-4.581663709633616,-4.527905529262432,-4.407015642030545,-4.142301849853331,-3.6177276836757497
-4.784036823073179,-4.651234106337703,-4.5790298350826,-4.525258546689872,-4.404306014725055,-4.139627187288065,-3.6153093591908436
-4.781419110032149,-4.648546610724678,-4.57633357606972,-4.522549527989161,-4.401535555874864,-4.136890315538806,-3.6128235945956773
-4.778728814749692,-4.645793268099694,-4.573572370944002,-4.519775863988042,-4.398701395045096,-4.134088587053113,-3.610268619941602
-4.775963667331325,-4.642971644525619,-4.570743658054468,-4.516934945514255,-4.395800661800878,-4.131219354278548,-3.6076426652799722
-4.773121397882558,-4.640079306065319,-4.56784487575014,-4.514024163395543,-4.3928304857073295,-4.12827996966267,-3.6049439606621365
-4.770199736508904,-4.637113818781665,-4.56487346238004,-4.511040908459648,-4.389787996329578,-4.125267785653041,-3.602170736139447
-4.767196413315877,-4.634072748737525,-4.561826856293195,-4.507982571534311,-4.386670323232749,-4.122180154697219,-3.5993212217632546
-4.764109158408987,-4.630953661995768,-4.558702495838623,-4.5048465434472735,-4.383474595981964,-4.119014429242765,-3.5963936475849114
-4.760935701893748,-4.627754124619262,-4.55549781936535,-4.501630215026279,-4.380197944142347,-4.115767961737241,-3.593386243655769
-4.7576737738756725,-4.624471702670876,-4.5522102652223975,-4.4983309770990685,-4.376837497279024,-4.112438104628204,-3.5902972400271786
-4.754321104460272,-4.621103962213477,-4.548837271758789,-4.494946220493383,-4.373390384957121,-4.109022210363216,-3.587124866750491
-4.750875423753058,-4.617648469309936,-4.545376277323549,-4.491473336036966,-4.369853736741759,-4.105517631389839,-3.583867353877057
-4.7473344618595466,-4.61410279002312,-4.541824720265697,-4.487909714557558,-4.366224682198065,-4.10192172015563,-3.58052293145823
-4.743695948885247,-4.610464490415896,-4.538180038934258,-4.484252746882903,-4.362500350891162,-4.098231829108151,-3.5770898295453595
-4.739957614935672,-4.606731136551136,-4.534439671678254,-4.4804998238407405,-4.358677872386173,-4.094445310694962,-3.5735662781897988
-4.7361171901163335,-4.602900294491707,-4.53060105684671,-4.476648336258811,-4.354754376248224,-4.090559517363622,-3.5699505074428974
-4.732172404532746,-4.598969530300478,-4.526661632788648,-4.472695674964861,-4.350726992042439,-4.0865718015616945,-3.566240747356008
-4.728120988290421,-4.594936410040316,-4.52261883785309,-4.4686392307866285,-4.346592849333944,-4.082479515736736,-3.5624352279804814
-4.723960671494872,-4.59079849977409,-4.518470110389059,-4.464476394551857,-4.34234907768786,-4.078280012336309,-3.5585321793676683
-4.7196891842516075,-4.5865533655646695,-4.514212888745578,-4.460204557088289,-4.3379928066693125,-4.073970643807972,-3.5545298315689204
-4.715304256666144,-4.582198573474923,-4.509844611271671,-4.455821109223665,-4.333521165843427,-4.069548762599289,-3.550426414635591
