Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07
-4.753131597364717,-4.645036988338591,-4.573939540159318,-4.507549459715143
-4.751208479302465,-4.642916612949177,-4.571760845754354,-4.505324902953917
-4.7492327895783575,-4.640749621501589,-4.569539634263124,-4.503059452173831
-4.747202491510539,-4.63853394604614,-4.567273698063885,-4.500750808279107
-4.745115548417152,-4.63626751863314,-4.56496082953489,-4.4983966721739685
-4.742969923616343,-4.633948271312902,-4.562598821054395,-4.495994744762635
-4.740763580426255,-4.631574136135736,-4.560185465000655,-4.4935427269493315
-4.738494482165036,-4.629143045151952,-4.557718553751926,-4.491038319638282
-4.73616059215083,-4.626652930411866,-4.555195879686464,-4.488479223733707
-4.733759873701774,-4.624101723965785,-4.552615235182521,-4.485863140139829
-4.731290290136024,-4.621487357864022,-4.549974412618354,-4.483187769760868
-4.7287498047717165,-4.618807764156892,-4.54727120437222,-4.480450813501053
-4.726136380926998,-4.6160608748947,-4.544503402822371,-4.4776499722646
-4.723447981920016,-4.613244622127762,-4.541668800347064,-4.474782946955735
-4.720682571068911,-4.6103569379063885,-4.538765189324553,-4.471847438478682
-4.717838111691831,-4.607395754280889,-4.535790362133096,-4.46884114773766
-4.71491256710692,-4.604359003301578,-4.532742111150945,-4.465761775636894
-4.711903900632319,-4.601244617018765,-4.529618228756356,-4.4626070230806025
-4.708810075586177,-4.598050527482763,-4.5264165073275855,-4.459374590973013
-4.705629055286637,-4.594774666743882,-4.523134739242889,-4.456062180218347
-4.702358803051843,-4.591414966852433,-4.519770716880518,-4.452667491720824
-4.698997282199941,-4.587969359858729,-4.516322232618731,-4.44918822638467
-4.695542456049074,-4.584435777813081,-4.512787078835784,-4.445622085114106
-4.691992287917387,-4.580812152765802,-4.509163047909929,-4.441966768813356
-4.688344741123026,-4.5770964167671995,-4.505447932219422,-4.4382199783866385
-4.684597778984133,-4.573286501867587,-4.501639524142521,-4.4343794147381805
-4.6807493648188565,-4.569380340117277,-4.4977356160574775,-4.430442778772202
-4.676797461945338,-4.56537586356658,-4.493734000342549,-4.426407771392927
-4.6727400336817215,-4.5612710042658104,-4.489632469375991,-4.422272093504578
-4.668575043346153,-4.557063694265274,-4.485428815536057,-4.418033446011375
-4.664300454256779,-4.552751865615286,-4.481120831201003,-4.413689529817543
-4.65991422973174,-4.548333450366157,-4.476706308749083,-4.409238045827305
-4.655414333089183,-4.543806380568197,-4.472183040558554,-4.404676694944881
-4.6507987276472535,-4.539168588271722,-4.46754881900767,-4.400003178074497
-4.646065376724096,-4.534418005527039,-4.46280143647469,-4.395215196120374
-4.6412122436378525,-4.52955256438446,-4.4579386853378615,-4.390310449986731
-4.636237291706669,-4.524570196894298,-4.452958357975446,-4.385286640577797
-4.631138484248691,-4.5194688351068635,-4.447858297171256,-4.380141497338774
-4.6259137977770015,-4.51424659279152,-4.442637172198367,-4.374873402151555
-4.620561860374224,-4.5089025863741705,-4.437294327679245,-4.369481387116895
-4.615082236797871,-4.503436276213446,-4.431829128026923,-4.363964512432979
-4.609474564386708,-4.497847122975904,-4.426240937654439,-4.358321838297981
-4.603738480479494,-4.492134587328105,-4.420529120974826,-4.352552424910085
-4.5978736224149905,-4.486298129936607,-4.414693042401123,-4.346655332467468
-4.591879627531957,-4.480337211467972,-4.408732066346362,-4.34062962116831
-4.585756133169155,-4.474251292588753,-4.402645557223579,-4.334474351210788
-4.579502776665345,-4.468039833965514,-4.396432879445813,-4.328188582793086
-4.573119195359288,-4.46170229626481,-4.390093397426097,-4.32177137611338
-4.566605026589745,-4.455238140153204,-4.383626475577466,-4.315221791369851
-4.559959907695477,-4.448646826297253,-4.377031478312957,-4.308538888760678
-4.553183476015244,-4.441927815363515,-4.370307770045606,-4.301721728484042
-4.546275368887808,-4.43508056801855,-4.363454715188447,-4.29476937073812
-4.539235223651927,-4.428104544928916,-4.356471678154517,-4.287680875721092
-4.532062677646365,-4.420999206761174,-4.349358023356851,-4.28045530363114
-4.524757368209881,-4.413764014181881,-4.342113115208486,-4.273091714666441
-4.517318932681238,-4.406398427857597,-4.334736318122455,-4.265589169025175
-4.509747008399193,-4.39890190845488,-4.327226996511795,-4.257946726905522
-4.50204123270251,-4.391273916640289,-4.319584514789542,-4.25016344850566
-4.494201242929947,-4.3835139130803835,-4.311808237368732,-4.242238025963472
-4.486226676420269,-4.375621358441723,-4.303897528662398,-4.234162574020863
-4.478117170512232,-4.367595685467118,-4.295850767947427,-4.2259235341059425
-4.469862969716083,-4.359428105567707,-4.287654478537513,-4.217507161643165
-4.461413620946435,-4.351090202585192,-4.2792873385491665,-4.20889971205699
-4.452707651192647,-4.342550693382883,-4.270727886241907,-4.200087440771874
-4.443683587251698,-4.333778294824086,-4.261954659875247,-4.191056603212276
-4.434280535111327,-4.3247417237721075,-4.252946197708706,-4.18179345480265
-4.424471047776464,-4.31540969709026,-4.243681038001793,-4.172284250967458
-4.414278784676508,-4.305750931641848,-4.23413771901403,-4.162515247131153
-4.403731716530622,-4.295734144290181,-4.224294779004929,-4.152472698718195
-4.392857696310949,-4.285328154161427,-4.2141313288116,-4.142142861153042
-4.381676282431259,-4.274520809028084,-4.203638796004404,-4.131511989860149
-4.370193414860568,-4.263341178612509,-4.192820469078967,-4.120566340263975
-4.358413768283046,-4.251823723945927,-4.18168011790627,-4.109292167788977
-4.346342017382869,-4.24000290605956,-4.170221512357301,-4.097675727859613
-4.333982836844209,-4.227913185984635,-4.158448422303042,-4.0857088839535365
-4.321340652514954,-4.2155887329773645,-4.146364705499506,-4.073409119553899
-4.308415558044486,-4.203042794101791,-4.1339774266849245,-4.060801230189178
-4.2952039704345895,-4.190254053731159,-4.121297699252173,-4.047910011944103
-4.2817021900683745,-4.17719795898845,-4.108336895684941,-4.034760260903394
-4.267906517328951,-4.163849956996651,-4.095106388466925,-4.021373736328524
-4.253813252599432,-4.150185494878747,-4.081617526437107,-4.007718987849813
-4.2394172589874755,-4.136180019757725,-4.06786151163428,-3.9937192269124817
-4.224681827999934,-4.121808978756566,-4.053772696401243,-3.9792962150864195
-4.209539483535222,-4.10704781899826,-4.039275477289825,-3.9643717139415173
-4.193921473048326,-4.091871987605791,-4.0242942508518516,-3.9488736767653854
-4.177759044353455,-4.076255707009286,-4.008754173511763,-3.9327797311837673
-4.160986338805682,-4.060138537877412,-3.9926049872307647,-3.9160913983138563
-4.1435473899358835,-4.043421334433869,-3.9758257686724683,-3.8988103516483954
-4.125388343432398,-4.026002914182563,-3.9583973135033887,-3.8809382646801334
-4.10645534498356,-4.007782094627388,-3.940300417390036,-3.8624552503703984
-4.086694540277709,-3.988665991906381,-3.921509516697169,-3.8432290118314723
-4.066052075003185,-3.968648479014833,-3.9019192162307434,-3.8230907362325217
-4.044474094848319,-3.9477751088325777,-3.8813696666753223,-3.8018744858707527
-4.021907045324647,-3.926089691372967,-3.8597005256890267,-3.7795162812770737
-3.9983200682808824,-3.903509221914964,-3.836817464103763,-3.7560787839046403
-3.973715466180784,-3.879764346854384,-3.812753636862983,-3.7316293267957863
-3.9480178071913423,-3.854570819646616,-3.7875567455787316,-3.7061531177722697
-3.9211073154854046,-3.8278015240858347,-3.76127449186306,-3.6795486673512126
-3.892959858803441,-3.8001300299643903,-3.73395457732801,-3.6517498550891174
-3.863591119892068,-3.771456066778954,-3.7056357580958803,-3.6229645660785863
-3.8332643899709673,-3.741518156271462,-3.676297122826206,-3.5935041080931844
-3.8021449181865217,-3.711096497928614,-3.6458933494366357,-3.5633342326556576
-3.7697283351497184,-3.679734168846769,-3.6144170646421245,-3.5320430522216184
-3.7362938548920477,-3.647205886002744,-3.581993259527038,-3.499524798169345
-3.7022739434862793,-3.6135799894717104,-3.5487605598054675,-3.4663778712776936
-3.6667160135874752,-3.5789311767247285,-3.514785953913077,-3.4328560064304456
-3.6305120407576106,-3.5433364179045226,-3.4801152778688804,-3.3983208532441234
-3.593955859488334,-3.506872736525292,-3.4447943645900425,-3.3630690146680946
-3.5556246880011124,-3.4697025446099996,-3.408783816775413,-3.3269837690675645
-3.516206763031962,-3.4324277103796255,-3.371702235647465,-3.289833681732201
-3.4763849548678345,-3.393143804772644,-3.3334317239562203,-3.2518209462819985
-3.4362833401426003,-3.353960481810194,-3.2951460300559337,-3.214320013858494
