Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09
-4.778588651489355,-4.655429045129561,-4.5878611488072005,-4.533273785085431,-4.33121161128134
-4.7765907475597364,-4.653272763052307,-4.585687410778355,-4.531034072410008,-4.32902808517202
-4.774545169617349,-4.6510712349378185,-4.583466429206822,-4.528751586027154,-4.326798249989282
-4.772449651611434,-4.648822255536762,-4.581196105294984,-4.526423943986513,-4.324519969453736
-4.770301927491232,-4.646523619599803,-4.5788743402452186,-4.524048764337732,-4.322191107285997
-4.768099731205979,-4.644173121877602,-4.576499035259909,-4.521623665130455,-4.319809527206677
-4.765840796704916,-4.641768557120823,-4.574068091541433,-4.519146264414327,-4.317373092936388
-4.763522857937286,-4.639307720080129,-4.57157941029217,-4.516614180238994,-4.314879668195743
-4.761143648852324,-4.636788405506188,-4.569030892714499,-4.514025030654104,-4.3123271167053545
-4.758700903399275,-4.634208408149658,-4.5664204400108055,-4.511376433709296,-4.309713302185836
-4.756192355527374,-4.631565522761206,-4.5637459533834654,-4.508666007454223,-4.307036088357799
-4.753615739185861,-4.6288575440914945,-4.561005334034857,-4.5058913699385235,-4.304293338941859
-4.750968788323976,-4.6260822668911885,-4.558196483167364,-4.503050139211848,-4.301482917658624
-4.748249236890963,-4.62323748591095,-4.555317301983364,-4.50013993332384,-4.298602688228711
-4.7454548188360555,-4.620320995901444,-4.552365691685238,-4.497158370324144,-4.29565051437273
-4.742583268108496,-4.617330591613333,-4.549339553475365,-4.4941030682624055,-4.292624259811296
-4.739632318657525,-4.614264067797281,-4.546236788556126,-4.49097164518827,-4.289521788265019
-4.73659970443238,-4.611119219203953,-4.5430552981299,-4.487761719151384,-4.2863409634545135
-4.733483159382302,-4.60789384058401,-4.5397929833990665,-4.484470908201392,-4.283079649100393
-4.73028041745653,-4.604585726688118,-4.536447745566007,-4.481096830387941,-4.279735708923267
-4.7269892126043045,-4.60119267226694,-4.533017485833101,-4.477637103760672,-4.276307006643752
-4.723607278774864,-4.59771247207114,-4.529500105402729,-4.474089346369236,-4.272791405982457
-4.720132331310426,-4.59414292085138,-4.525893505477269,-4.470451176263273,-4.269186770659998
-4.716561967458613,-4.590481813358325,-4.522195587259102,-4.466720211492433,-4.265490964396987
-4.712893738283883,-4.586726944342639,-4.518404251950609,-4.462894070106358,-4.261701850914034
-4.7091251947438755,-4.582876108554985,-4.514517400754168,-4.458970370154695,-4.257817293931755
-4.7052538877962355,-4.578927100746026,-4.51053293487216,-4.454946729687091,-4.2538351571707596
-4.701277368398603,-4.574877715666427,-4.506448755506964,-4.450820766753188,-4.249753304351663
-4.697193187508618,-4.5707257480668515,-4.502262763860963,-4.446590099402632,-4.245569599195078
-4.692998896083923,-4.566468992697963,-4.4979728611365335,-4.442252345685069,-4.241281905421615
-4.688692045082158,-4.562105244310424,-4.493576948536056,-4.437805123650144,-4.236888086751889
-4.684270185460965,-4.5576322976549,-4.489072927261913,-4.433246051347506,-4.232386006906513
-4.679730868177989,-4.553047947482053,-4.48445869851648,-4.428572746826796,-4.227773529606097
-4.675071644190866,-4.548349988542547,-4.479732163502142,-4.423782828137659,-4.223048518571256
-4.670290064457239,-4.543536215587048,-4.474891223421274,-4.418873913329744,-4.2182088375226
-4.6653836799347514,-4.538604423366216,-4.46993377947626,-4.413843620452694,-4.213252350180745
-4.660350041581042,-4.533552406630717,-4.464857732869477,-4.408689572156278,-4.208176920266302
-4.6551867003537515,-4.528378126734341,-4.459661125091887,-4.403409894919625,-4.202980411499884
-4.649891739696192,-4.523080759060691,-4.454342743327329,-4.398003666554228,-4.197660687602104
-4.644465583211044,-4.517660016439479,-4.448901621555471,-4.392470070473556,-4.192215612293574
-4.638909297180344,-4.512115614095517,-4.443336793914264,-4.386808290091083,-4.186643049294908
-4.6332239479041855,-4.506447267253621,-4.43764729454166,-4.381017508820278,-4.180940862326716
-4.627410601682664,-4.500654691138604,-4.4318321575756086,-4.375096910074612,-4.175106915109613
-4.621470324815876,-4.494737600975278,-4.425890417154062,-4.369045677267558,-4.169139071364212
-4.615404183603918,-4.488695711988458,-4.419821107414972,-4.362862993812585,-4.163035194811124
-4.609213244346884,-4.482528739402956,-4.413623262496288,-4.356548043123165,-4.156793149170962
-4.6028985733448735,-4.476236398443587,-4.407295916535966,-4.3501000086127695,-4.150410798164341
-4.596461236897979,-4.469818404335164,-4.400838103671951,-4.34351807369487,-4.14388600551187
-4.5899023013062985,-4.4632744723025,-4.394248858042198,-4.336801421782936,-4.137216634934166
-4.583222832869927,-4.456604317570407,-4.38752721378466,-4.329949236290441,-4.130400550151837
-4.576423897888959,-4.449807655363704,-4.380672205037282,-4.322960700630853,-4.123435614885499
-4.569506402498594,-4.442884200907198,-4.373682865938023,-4.315834998217646,-4.116319692855764
-4.56246825477932,-4.435833669425705,-4.366558230624828,-4.308571312464289,-4.109050647783243
