dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09,dQ_dV_11,dQ_dV_13,dQ_dV_15
-0.16045759921197095,-0.1683195842296035,-0.16569862375019956,-0.175580226667137,-0.1794508317031346,-0.1896755530507166,-0.17047393480093054,-0.16406953232177682
-0.21638474692385506,-0.2272960649292221,-0.22409533029798456,-0.2365633226908702,-0.24162643166321965,-0.25454297807851295,-0.23013660621186394,-0.22185296207749286
-0.27373512079206713,-0.2879027137471516,-0.2842741315087777,-0.29896734066237546,-0.3051758930174133,-0.3204250372319907,-0.2914229642527524,-0.28138698164518255
-0.27994113246012375,-0.2950982015474324,-0.29217142652884154,-0.30518578879062946,-0.3111690722190019,-0.32473334675024723,-0.2985655976806356,-0.28912774697279814
-0.2870572632417748,-0.3032490421388616,-0.301081899843723,-0.312290398529558,-0.3180383791896588,-0.3298065173786768,-0.3066840308304336,-0.2978806960326267
-0.2944787879240721,-0.3116156807795847,-0.3101802669483732,-0.3196653169404613,-0.32519875857880154,-0.33527590961828085,-0.31505470460629115,-0.30684424328667886
-0.30220570650706124,-0.3201981174695789,-0.3194665278428147,-0.3273105440233508,-0.3326502103865437,-0.34114152346909354,-0.32367761900817416,-0.31601838873493193
-0.31023801899066256,-0.32899635220884427,-0.3289406825269794,-0.33522607977821506,-0.3403927346128057,-0.34740335893110347,-0.3325527740361167,-0.3254031323773745
-0.3185757253749102,-0.3380103849973808,-0.33860273100088983,-0.34341192420505423,-0.3484263312575422,-0.35406141600428787,-0.34168016969016435,-0.3349984742140464
-0.3272188256598155,-0.34724021583516557,-0.3484526732645463,-0.3518680773038909,-0.35675100032088947,-0.3611156946886695,-0.3510598059702602,-0.34480441424491914
-0.3361673198453786,-0.35668584472221027,-0.35849050931796,-0.36059453907467964,-0.3653667418027908,-0.36856619498428245,-0.36069168287638154,-0.3548209524699871
-0.34542120793158804,-0.3663472716585374,-0.36871623916113094,-0.36959130951745467,-0.3742735557032006,-0.37641291689110407,-0.3705758004086079,-0.3650480888892844
-0.3549804899184438,-0.37622449664411306,-0.3791298627940478,-0.3788583886322613,-0.3834714420222213,-0.38465586040910016,-0.3807121585668824,-0.37548582350279963
-0.3648451658059457,-0.38631751967894845,-0.38973138021668774,-0.38839577641899725,-0.39296040075978456,-0.39329502553829343,-0.3911007573512052,-0.3861341563105043
-0.3750152355940941,-0.3966263407630777,-0.40052079142909636,-0.398203472877708,-0.40274043191584497,-0.40233041227866123,-0.40174159676157617,-0.39699308731243266
-0.38549069928290014,-0.40715095989645533,-0.41149809643127355,-0.40828147800842773,-0.41281153549045946,-0.41176202063022627,-0.4126346767980067,-0.40806261650857323
-0.39627155687231835,-0.4178913770790928,-0.4226632952231626,-0.4186297918111109,-0.4231737114836278,-0.4215898505929999,-0.42377999746048545,-0.41934274389890336
-0.4073578083624398,-0.42884759231097863,-0.43401638780480883,-0.42924841428574606,-0.43382695989529346,-0.4318139021670163,-0.4351775587490352,-0.4308334694834457
-0.41874945375323025,-0.440019605592147,-0.44555737417621233,-0.44013734543241295,-0.4447712807255358,-0.4424341753522185,-0.4468273606636217,-0.44253479326219464
-0.430446493044633,-0.45140741692258646,-0.45728625433738446,-0.45129658525105465,-0.45600667397433203,-0.4534506701486066,-0.45872940320429056,-0.45444671523514446
-0.4424489262366819,-0.46301102630228574,-0.46920302828827976,-0.4627261337416485,-0.4675331396416482,-0.46486338655619197,-0.4708836863710417,-0.4665692354023122
-0.4547567533294228,-0.4748304337312561,-0.4813076960289209,-0.47442599090423987,-0.47935067772751844,-0.47667232457497455,-0.4832902101638069,-0.4789023537636922
-0.46736997432278715,-0.48686563920949766,-0.4936002575593079,-0.48639615673881736,-0.49145928823196533,-0.4888774842049429,-0.4959489745826204,-0.49144607031926746
-0.4802885892168093,-0.49911664273699896,-0.5060807128794522,-0.49863663124535834,-0.5038589711549094,-0.5014788654461086,-0.5088599796275503,-0.5042003850690606
-0.4935125980115117,-0.5115834443137374,-0.518749061989331,-0.5111474144238628,-0.5165497264964187,-0.5144764682984941,-0.5220232252985397,-0.5171652980130717
-0.5070420007068265,-0.5242660439397469,-0.5316053048889785,-0.5239285062743761,-0.5295315542565049,-0.5278702927620884,-0.5354387115955433,-0.5303408091512779
-0.5208767973027761,-0.5371644416150388,-0.5446494415783831,-0.5369799067968644,-0.5428044544350996,-0.5416603388368799,-0.5491064385186292,-0.5437269184836794
-0.5350169877994062,-0.550278637339602,-0.5578814720575338,-0.5503016159913159,-0.5563684270322369,-0.5558466065228458,-0.563026406067786,-0.5573236260102988
-0.549462572196694,-0.5636086311134136,-0.5713013963264529,-0.5638936338577423,-0.5702234720479282,-0.5704290958200318,-0.5771986142429683,-0.5711309317311418
-0.5642135504945941,-0.5771544229365078,-0.5849092143850726,-0.577755960396155,-0.5843695894821395,-0.5854078067284263,-0.5916230630441988,-0.5851488356461914
-0.5792699226931746,-0.5909160128088843,-0.5987049262334267,-0.5918885956065424,-0.5988067793348932,-0.600782739247984,-0.6062997524714888,-0.599377337755459
-0.5946316887924127,-0.604893400730498,-0.6126885318715608,-0.606291539488916,-0.6135350416062011,-0.6165538933787502,-0.6212286825248725,-0.6138164380589387
-0.6102988487923084,-0.6190865867013486,-0.6268600312994522,-0.6209647920432758,-0.6285543762960515,-0.6327212691207478,-0.6364098532043158,-0.6284661365566194
-0.6262714026928392,-0.6334955707214932,-0.6412194245170554,-0.6359083532696219,-0.6438647834044787,-0.6492848664739199,-0.6518432645097846,-0.6433264332484954
-0.642549350494005,-0.6481203527909203,-0.6557667115244499,-0.6511222231679653,-0.6594662629314485,-0.6662446854382893,-0.667528916441313,-0.6583973281345608
-0.6591326921958398,-0.662960932909607,-0.6705018923215903,-0.666606401738261,-0.6753588148769608,-0.6836007260138672,-0.6834668089989236,-0.6736788212148439
-0.676021427798321,-0.6780173110775537,-0.6854249669084765,-0.6823608612770385,-0.6915424392410046,-0.7013523007573099,-0.6996569421825711,-0.6891709124893567
-0.6932155573014483,-0.69328948729476,-0.7005359352851087,-0.6983805305239003,-0.7080171360236136,-0.7194783837393403,-0.7160993159922896,-0.7048736019580815
-0.7107150807052335,-0.7087774682944656,-0.7158347974514868,-0.7146445256213497,-0.72478192363169,-0.7379162425467372,-0.7327939304280904,-0.7207868896210075
-0.7285177234884259,-0.7244813437244717,-0.7313215534076108,-0.7311197643148148,-0.7418245046358379,-0.7565799189923497,-0.7497407854899281,-0.7369107754781566
-0.7465821894226906,-0.7404013275877219,-0.7469962031535033,-0.7477717626962999,-0.7591160581677969,-0.7753822845565651,-0.7669398811778252,-0.7532452595294956
-0.7648006915765564,-0.7565376828210901,-0.7628587466891419,-0.7645660645612339,-0.7766214905079096,-0.7942368981630694,-0.7843912174917707,-0.769790341775024
-0.7830348453754482,-0.7728906731215716,-0.7789091840145148,-0.781473257261996,-0.7943056242806052,-0.8130776572214813,-0.8020947944317642,-0.7865460222147818
-0.801145412119115,-0.7894605554528767,-0.7951475151296337,-0.7984797407480642,-0.8121342637034786,-0.8318801656254209,-0.8200506119978173,-0.803512300848746
-0.8189954276285789,-0.8062475038641879,-0.811573740034487,-0.8155841133659578,-0.8300845288304117,-0.8506432530424035,-0.8382586701899413,-0.8206891776769112
-0.8364869494318896,-0.8232515680495567,-0.8281878587291089,-0.8327863751156656,-0.848150063154128,-0.8693669194723952,-0.8567189690081476,-0.8380766526992944
-0.8535885257603013,-0.8404727487691502,-0.8449898712134769,-0.8500865259972101,-0.8663307830188274,-0.8880511649154073,-0.8754315084523795,-0.8556747259158954
-0.8702993024880812,-0.8579110460229914,-0.8619797774875906,-0.8674845660105802,-0.8846266884244871,-0.9066959893714625,-0.8943962885226483,-0.8734833973266802
-0.8866192796152406,-0.8755664598110913,-0.8791575775514731,-0.8849804951557758,-0.903037779371084,-0.9253013928405608,-0.9136133092189993,-0.8915026669316944
-0.9025484571418133,-0.8934389901334385,-0.8965232714051126,-0.9025743134327855,-0.921564055858596,-0.9438673753226795,-0.9330825705414213,-0.909732534730921
-0.9180868350677543,-0.911528636990022,-0.9140768590484754,-0.9202660208416547,-0.9402055178871138,-0.9623939368178414,-0.9528040724898802,-0.9281730007243426
-0.9332349053876215,-0.9298354003808641,-0.9318183404815612,-0.9380556173823493,-0.9589621654565577,-0.9808810773260235,-0.972777815064444,-0.9468240649119708
-0.9480660674786464,-0.9483592803059537,-0.9497477157044272,-0.9559431030548469,-0.9778339985669391,-0.999328796847226,-0.9930037982650675,-0.9656887395904334
-0.9628743026121925,-0.9671002767652795,-0.9678649847170391,-0.9739284778591583,-0.9968210172182809,-1.0177370953814602,-1.0134820220916936,-0.9848301828045238
-0.9781198814244136,-0.9860583897588526,-0.9861701475194081,-0.9920117417953294,-1.0159232214105942,-1.0361059729287265,-1.0342140209309152,-1.0044197883609116
-0.9942811974103394,-1.0052336192866733,-1.0046632041115118,-1.0101928948633259,-1.0351406111438224,-1.0544354294890013,-1.055222569603484,-1.0246818537368485
-1.0118361520703958,-1.0246259653487528,-1.0233441544933726,-1.028472096286066,-1.0544731864180221,-1.072750035241313,-1.0765638101554602,-1.0458424777698838
-1.0311897395223357,-1.0442354279450456,-1.042212998664968,-1.0468881776272612,-1.073923866687187,-1.0911972809835448,-1.0983078201221133,-1.0681247470009794
-1.0525263719897908,-1.0640620070755744,-1.0612697366263093,-1.0656068745662766,-1.093565139672819,-1.1100476130068047,-1.120524951350285,-1.0916916022228975
-1.0758641723315805,-1.0841092782060286,-1.0805228380554128,-1.0848946649590858,-1.1136025148793125,-1.1295960826555644,-1.143284021300258,-1.116597748466552
-1.1012083647835538,-1.1045958961578437,-1.1001534047245742,-1.1050303778406942,-1.1343107390651315,-1.1501377412742841,-1.1666326069981665,-1.1428449870922464
-1.1286257670243345,-1.1262781235663737,-1.120655454530413,-1.126292683023212,-1.1559674232736257,-1.1719430700283966,-1.1905849182447583,-1.170433318100004
-1.1582739634293604,-1.1502661780488665,-1.1426771376256284,-1.1489215779779443,-1.1788472590940842,-1.1951596294645128,-1.2151412293516273,-1.1993627414898242
-1.1903454268198062,-1.1776981282804173,-1.166871982711052,-1.173030156060463,-1.2031553698483095,-1.2198120246359507,-1.2403015403188533,-1.2296332572616961
-1.2250331209726142,-1.2097084674705003,-1.1938850488095683,-1.198630768449732,-1.2289638570752346,-1.2459002555426877,-1.2660658511464136,-1.2612448654156196
-1.262524785428843,-1.2472166094728439,-1.2241887628497352,-1.2257234151457739,-1.2562755850596772,-1.273424322184735,-1.292434161834251,-1.2941975659516118
-1.302946566286755,-1.2906043603271655,-1.2579426356357546,-1.2543080961485429,-1.2850905538016035,-1.302384224562104,-1.3194064723824341,-1.3284913588696612
-1.3463338429478766,-1.3398995598857595,-1.2951520457157812,-1.284384811457994,-1.3154087633010816,-1.3327799626747834,-1.346982782790974,-1.3641262441697848
-1.3926627797384528,-1.3948031151884495,-1.3357253042287995,-1.3159535610741842,-1.347230213558089,-1.364611536522773,-1.375163446111435,-1.4011022218519713
-1.4413934886019546,-1.453638438650671,-1.3790025692339443,-1.3490143449971468,-1.3805549045726024,-1.3978789461060614,-1.4040198530513974,-1.4394192919162152
-1.4910387925900976,-1.513407525576247,-1.423693249566179,-1.383567163226826,-1.4153828363446679,-1.432582191424683,-1.4338497889367148,-1.479077454362522
-1.5396381823537808,-1.5708693782329193,-1.4683523901553146,-1.4196120157632324,-1.4517140088742622,-1.4687212724786376,-1.4651275116781846,-1.5200767091909029
-1.585213870237385,-1.6227830100941676,-1.511534957031404,-1.4571489026064341,-1.4895484221613515,-1.5062961892678912,-1.4983480417577766,-1.56241705640133
-1.625812395214723,-1.6662459908054417,-1.551887642049667,-1.496177823756375,-1.528886076205947,-1.5453069417924552,-1.5340060466058731,-1.6060984959938254
-1.660207809213057,-1.7005723274527216,-1.588809524445776,-1.5366987792130091,-1.569726971008083,-1.5857535300523635,-1.5725251559968512,-1.6511210279683726
-1.6892867061167751,-1.7279404076978608,-1.623126506871995,-1.5787117689763934,-1.6120711065677598,-1.627635954047571,-1.614102605086856,-1.697503424562035
-1.7156302143146949,-1.7515433685629094,-1.6565576216666729,-1.622216793046539,-1.6559184828849198,-1.6709542137780773,-1.6587591564470359,-1.74543795035695
-1.74210465529975,-1.7746026083284618,-1.6909488689930299,-1.6672138514233894,-1.7012690999595976,-1.7157083092439054,-1.7064948100773678,-1.7953477239054225
-1.7715763647978864,-1.8002944556022384,-1.7281462120501487,-1.7137029441069673,-1.7481229577918271,-1.761898240445055,-1.7573095659778177,-1.8477325287426427
-1.8066997270086063,-1.830837046739623,-1.7698113797363817,-1.7616840710973294,-1.796480056381586,-1.8095240073815266,-1.8112091730830118,-1.9030926795244567
-1.8489638730661113,-1.8666860209872882,-1.8168100267577985,-1.8111572323944074,-1.8463403957288167,-1.858600727977921,-1.8683407484882366,-1.9619097186695913
-1.8986367320010005,-1.9074153439396355,-1.8692690420395366,-1.8621224279982131,-1.8977039758335879,-1.9095369534419944,-1.9291245603777953,-2.0244916962517094
-1.9557183180461948,-1.952566682068209,-1.9271884255815395,-1.9146142093553977,-1.9506033559801383,-1.9635156913847707,-1.9941245402844232,-2.090915808374331
-2.0202086312017173,-2.001811789493047,-1.9905729063192668,-1.9693129154476539,-2.0056332079082266,-2.0221347758932153,-2.0639107512262798,-2.161182586158077
-2.092093489127581,-2.055576007240484,-2.0595910450058454,-2.0280340528433727,-2.0643482260647263,-2.087010726485522,-2.1390475072869606,-2.235292029602931
-2.171196269068355,-2.115144555663881,-2.1347639165796184,-2.093134020016464,-2.128746050022164,-2.1597449447553405,-2.2199577543893785,-2.3132441387089218
-2.2571037790379136,-2.182043073111811,-2.21681768002195,-2.166986175847956,-2.2008367949428815,-2.241545399013114,-2.306791287367367,-2.395038913476043
-2.349313341230038,-2.257801235858858,-2.3064901670540623,-2.2518687896292704,-2.282598016705009,-2.332845601166031,-2.399543528889012,-2.480676353904272
-2.4473211031735786,-2.3438242277865244,-2.4045144804617395,-2.348809988975927,-2.375445158731128,-2.4336642366453303,-2.49796625591718,-2.570156459993621
-2.550637394737373,-2.440882895306231,-2.5114598912131445,-2.4568715772814587,-2.4798336417367297,-2.5437972638383544,-2.601367965134557,-2.663456796379819
-2.6589349862056566,-2.5491077391468253,-2.6275431560911553,-2.5742807797582374,-2.5957447164032774,-2.662019083239329,-2.708832037041208,-2.760189421277596
-2.7721232170933834,-2.66832938009685,-2.7527039252685714,-2.699096041892756,-2.7223295005159858,-2.7860818619764416,-2.8194332108324374,-2.8593554033955115
-2.890200912735657,-2.7973315660195457,-2.886084253546943,-2.8291019217579505,-2.8571263451629765,-2.913533050092309,-2.93225693452091,-2.9596807767891904
-3.0131680731324537,-2.9337372491962355,-3.0257042414974364,-2.9624857540908867,-2.996808055716383,-3.0419200976295775,-3.0466175721379845,-3.0598844593108367
-3.1410246982838204,-3.074885939643252,-3.169171147805406,-3.098253404663501,-3.138008226131399,-3.1689944295278734,-3.1620514261217525,-3.1587078041769927
-3.2737707881897107,-3.2181170071035754,-3.3140874434363417,-3.2357044255234717,-3.277391676429528,-3.293520865335103,-3.2778857538999153,-3.2552576710251913
-3.4114063428501487,-3.3609392002846334,-3.45812437042195,-3.374238334254307,-3.412470910477504,-3.4152626237406825,-3.393224702845021,-3.3492519089991393
-3.553901818992858,-3.501879855341002,-3.5996485353016343,-3.5132509070992235,-3.542509381185681,-3.534170092904481,-3.50716208649032,-3.4406834018954386
-3.700713714274184,-3.6404931181176665,-3.7379663042712825,-3.651954906407264,-3.667768588938765,-3.6501918510266425,-3.6188003165701845,-3.5295486874946738
-3.8504182792100092,-3.77648618986197,-3.8726972263986115,-3.789477353356626,-3.7885735903310493,-3.763276543022994,-3.727463146692395,-3.6156914850875865
-4.001184333421134,-3.9095417260158793,-4.003460867408222,-3.9249451806112807,-3.90524944079894,-3.873380977094229,-3.832908491657747,-3.6986031381338647
-4.1511690969745185,-4.0393423823301875,-4.129880044525504,-4.057441003608472,-4.018091169240058,-3.980485795665533,-3.9351260176269482,-3.777557457622561
-4.29848588285588,-4.165599099972048,-4.251668133099589,-4.185789199999232,-4.127255622205365,-4.084589188777199,-4.034106571602871,-3.8518137416327365
-4.441315589317252,-4.288156806000165,-4.368720703053475,-4.308536373402314,-4.232767144487508,-4.185690323648396,-4.1296362376590485,-3.9206347504628756
-4.578228372379783,-4.406990814335825,-4.481032983324133,-4.424165278732722,-4.3346233793952536,-4.283649113344751,-4.221117820875145,-3.983436062901285
-4.708083706295742,-4.522099790033326,-4.588539912042797,-4.531226465652838,-4.43267408218199,-4.3778951182450845,-4.307758893301173,-4.039985633567284
-4.829773708416463,-4.633294827568534,-4.690530182218208,-4.628754635664615,-4.526395495836761,-4.467528960995407,-4.388759463019199,-4.090268949550852
