dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09,dQ_dV_11,dQ_dV_13,dQ_dV_15,dQ_dV_17,dQ_dV_19,dQ_dV_21,dQ_dV_23,dQ_dV_25
-0.15761856013244263,-0.15868510052928747,-0.15164660004676134,-0.15628492281282252,-0.1511673780926874,-0.15137193676583058,-0.1477613713100919,-0.15118133337002077,-0.14696670043775345,-0.14625024969283507,-0.145922025987352,-0.14573260081473174,-0.14890156302934626
-0.21217653379841872,-0.21370072921763955,-0.2048710517404498,-0.21055597661711364,-0.20393562437526114,-0.20392766995209205,-0.19908023775670752,-0.2031681736007546,-0.19759094033441404,-0.19666902752282162,-0.1960649179086319,-0.1958332649569213,-0.1999063753427319
-0.2679544248719993,-0.26997645199625603,-0.25962896843262623,-0.26610876983211074,-0.2580849216490908,-0.25772219854001527,-0.2516184902300307,-0.2561337285946071,-0.24920931751697215,-0.24809996362733094,-0.24713224338352136,-0.24687016868668774,-0.25176308286956983
-0.2731863440125153,-0.27542282947857755,-0.2663691084426659,-0.2716712254813729,-0.26411906153218756,-0.26309267315327817,-0.25690426866768806,-0.260300106532361,-0.25346164543497024,-0.2524337598849229,-0.2510646018902548,-0.25085479108655595,-0.25537106142337507
-0.2792859310506287,-0.28172329993006995,-0.274036433435208,-0.2780799225349938,-0.2710243164884105,-0.2692866501616322,-0.26300119880129386,-0.2651936803477384,-0.25843233186453746,-0.257494551257571,-0.2556867696583709,-0.25553598902423574,-0.2596305374907161
-0.28578199377146807,-0.28836845641847053,-0.28195060840195085,-0.2848045760485434,-0.2782074015639182,-0.2757946343918889,-0.26940806536962325,-0.27045315954171656,-0.26374346424580614,-0.2628952133652206,-0.2606590797103991,-0.2605686573373646,-0.2642370134146063
-0.2926745321749877,-0.2953582989437564,-0.29011163334287177,-0.2918451860220557,-0.28566831675872206,-0.2826166258441163,-0.2761248683726308,-0.2760785441142957,-0.2693950425787648,-0.26863574620786035,-0.26598153204633945,-0.265952796025988,-0.2691904891949889
-0.2999635462612332,-0.30269282750597315,-0.29851950825802764,-0.2992017524555536,-0.2934070620727994,-0.289752624518303,-0.2831516078103391,-0.28206983406544167,-0.27538706686344766,-0.27471614978553593,-0.27165412666616934,-0.2716884050900717,-0.2744909648319435
-0.3076490360301932,-0.31037204210512076,-0.30717423314739567,-0.3068742753490483,-0.3014236375061387,-0.29720263041440376,-0.2904882836827369,-0.28842702939516585,-0.2817195370997866,-0.2811364240982471,-0.2776768635699341,-0.27777548452961587,-0.2801384403254929
-0.31573100148184496,-0.3183959427411537,-0.316075808010919,-0.3148627547025058,-0.30971804305876277,-0.30496664353244113,-0.2981348959898241,-0.2951501301035137,-0.2883924532878268,-0.287896569145903,-0.2840497427576111,-0.28421403434463177,-0.2861329156755573
