dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09,dQ_dV_11
-0.15253230173533694,-0.1626039612686288,-0.16188620706193585,-0.1639790536403099,-0.16818968851966115,-0.16491831337094096
-0.20598225457631797,-0.21891643063455213,-0.2181488606530608,-0.22080910407752313,-0.22611609920174128,-0.22197710708475665
-0.26093485686116336,-0.2764755184857524,-0.2757528966618581,-0.27891322285732956,-0.2851608151856031,-0.28026694399886154
-0.26752068247988064,-0.2818792891568023,-0.2816016616440152,-0.2844510268606314,-0.28997213561234503,-0.2856046775576488
-0.2750339296993275,-0.28811238158307334,-0.28830857373246777,-0.29082136857372237,-0.2955636621212648,-0.29175989355917414
-0.28281809519380663,-0.2946624163364618,-0.29530387950929937,-0.29749248496137853,-0.30149527083217437,-0.29822581854926966
-0.2908731789633066,-0.30152939341696766,-0.30258757897451005,-0.3044643760236568,-0.30776696174506246,-0.30500245252795827
-0.29919918100785026,-0.3087133128245682,-0.3101596721280771,-0.31173704176052297,-0.3143787348599176,-0.3120897954952625
-0.30779610132743757,-0.31621417455922934,-0.3180201589699891,-0.31931048217192026,-0.321330590176774,-0.3194878474511484
-0.3166639399220571,-0.32403197862100797,-0.3261690395003143,-0.32718469725790555,-0.32862252769558614,-0.32719660839562725
-0.3258026967916863,-0.33216672500989264,-0.33460631371898447,-0.3353596870184788,-0.33625454741634253,-0.33521607832869904
-0.33521237193638176,-0.3406184137258719,-0.3433319816260337,-0.34383545145358313,-0.344226649339089,-0.34354625725038657
-0.3448929653561436,-0.3493870447689573,-0.35234604322147334,-0.35261199056330955,-0.35253883346383647,-0.35218714516065575
-0.3548444770508809,-0.3584726181391716,-0.3616484985052921,-0.3616893043476466,-0.3611910997905511,-0.3611387420595179
-0.3650669070206504,-0.36787513383649184,-0.3712393474774558,-0.37106739280653755,-0.37018344831927835,-0.3704010479469844
-0.3755602552655205,-0.37759459186088407,-0.3811185901379872,-0.38074625594001654,-0.37951587904997264,-0.3799740628230439
-0.3863245217854228,-0.3876309922123937,-0.3912862264868977,-0.39072589374808336,-0.38918839198262273,-0.38985778668770765
-0.3973597065802892,-0.3979843348910095,-0.40174225652421003,-0.4010063062307154,-0.39920098711725127,-0.40005221954097586
-0.4086658096502447,-0.40865461989671986,-0.41248668024987867,-0.4115874933879241,-0.40955366445384705,-0.410557361382837
-0.42024283099524384,-0.41964184722952497,-0.4235194976639036,-0.42246945521974344,-0.4202464239924098,-0.4213732122132911
-0.43209077061522977,-0.43094601688947026,-0.4348407087663077,-0.4336521917261053,-0.43127926573297376,-0.4324997720323609
-0.444209628510248,-0.4425671288764875,-0.4464503135570794,-0.445135702907055,-0.4426521896755162,-0.4439370408400123
-0.4565994046803553,-0.4545051831905994,-0.4583483120362303,-0.4569199887626042,-0.45436519582004853,-0.455685018636234
-0.46926009912550626,-0.4667601798318288,-0.47053470420372606,-0.4690050492927071,-0.4664182841665821,-0.4677437054210941
-0.4821917118456668,-0.4793321188001528,-0.4830094900596009,-0.4813908844973867,-0.47881145471506,-0.4801131011945472
-0.49539424284084815,-0.4922210000955829,-0.495772669603889,-0.494077494376677,-0.49154470746550494,-0.4927932059565592
-0.5088676921110846,-0.5054268237181418,-0.508824242836522,-0.5070648789305437,-0.5046180424179512,-0.5057840197071869
-0.5226120596563647,-0.518949589667784,-0.5221642097575114,-0.5203530381589645,-0.5180314595723758,-0.5190855424464417
-0.5366273454766542,-0.532789297944521,-0.5357925703669025,-0.5339419720619845,-0.5317849589287335,-0.5326977741742667
-0.5509135495719988,-0.546945948548364,-0.5497093246646273,-0.5478316806396037,-0.545878540487115,-0.5466207148906961
-0.5654706719423871,-0.5614195414793017,-0.5639144726507425,-0.5620221638917883,-0.5603122042474865,-0.5608543645957298
-0.5802987125877963,-0.576210076737334,-0.5784080143252481,-0.5765134218185382,-0.5750859502098138,-0.5753987232893452
-0.5953976715082376,-0.5913175543224952,-0.5931899496881216,-0.5913054544198871,-0.5901997783741081,-0.5902537909715762
-0.6107675487037227,-0.6067419742347511,-0.6082602787393626,-0.6063982616958128,-0.605653688740381,-0.6054195676423662
-0.6264083441742514,-0.6224833364741245,-0.6236190014789941,-0.6217918436463151,-0.6214476813086436,-0.6208960533017603
-0.642320057919801,-0.638540877753087,-0.6392661072504893,-0.637486200271394,-0.6375816635252136,-0.636683247949793
-0.6585015383941254,-0.6548962150924013,-0.6551994536289272,-0.6534813315710836,-0.6540498257406171,-0.6527811515863959
-0.6749414068944362,-0.6714976322394024,-0.6714101106676481,-0.6697772375453498,-0.6708319744643292,-0.6691897642115805
-0.691614909299176,-0.68827624870396,-0.6878838607287662,-0.686373918194181,-0.6878983985758397,-0.6859090858254036
-0.7084929658950273,-0.7051624966277246,-0.7046058648929148,-0.703270778564854,-0.705218628623527,-0.7029391164277968
-0.7255464711852824,-0.7220875714398745,-0.7215612948971739,-0.7204616688902775,-0.7227622877095429,-0.7202798560187716
-0.742747471219468,-0.7390002882612976,-0.738737454247189,-0.7379330154605896,-0.7405047160318646,-0.7379313045983851
-0.7600782392037445,-0.7558827954863091,-0.7561284339702752,-0.755668762651544,-0.758435637629441,-0.75589346216658
-0.7775344237630522,-0.7727344057466895,-0.7737336127850085,-0.7736528370053862,-0.776554294171217,-0.7741663287233564
-0.7951159991139662,-0.7895551190424727,-0.791552990691389,-0.7918697600170731,-0.7948606856572383,-0.7927499042687488
-0.8128229652565553,-0.806344935373636,-0.8095865676894618,-0.810309607996021,-0.8133548120875276,-0.8116441888027226
-0.8306553221908304,-0.8231038547401568,-0.8278343437792273,-0.8289698811942914,-0.8320366734620279,-0.830849182325278
-0.8486130699167915,-0.8398318771420463,-0.8462963189606852,-0.8478505617784095,-0.8509062697807281,-0.8503648848364606
-0.8666962084343595,-0.8565290025793387,-0.864972493233779,-0.8669516497483984,-0.8699636010437075,-0.8701912963362475
-0.8849047377435909,-0.873208580771643,-0.8838628665985311,-0.8862731451043147,-0.8892086672509323,-0.8903284168246273
-0.9032386578445085,-0.8899771814876204,-0.9029674390549759,-0.9058150478460903,-0.9086414684023794,-0.9107762463016003
-0.9216979687371009,-0.907050818465666,-0.922286210603079,-0.9255773579737366,-0.9282620044980491,-0.9315347847671661
-0.9402826704213341,-0.9246751270921777,-0.9418191812428405,-0.9455600754872763,-0.948070275537964,-0.9526040322213134
-0.9589927628972192,-0.943095790761379,-0.9615663509742944,-0.9657632003866979,-0.968066281522124,-0.9739839886640653
-0.9778282461647791,-0.9625451431478383,-0.981527719797441,-0.9861867326719677,-0.9882500224505294,-0.9956746540953987
-0.9967891202239799,-0.9831622978772089,-1.0017032877122347,-1.0068306723431193,-1.0086214983231685,-1.0176760285153366
-1.015875385074844,-1.004976924605353,-1.0220930547187208,-1.027695019400187,-1.0291908196312307,-1.0399977067149395
-1.0350870407173831,-1.02798907134013,-1.0426970208168769,-1.0487797738431142,-1.0501135149813534,-1.0627654267642699
-1.0544485426769483,-1.0522225106361929,-1.06355029001719,-1.070086234335247,-1.0717769707226694,-1.0862779181765063
-1.0745098691457886,-1.0778715047956553,-1.0849771610673544,-1.0917412171989098,-1.094667204484904,-1.1109013619898975
-1.096791218948829,-1.105332949968215,-1.1076678474177812,-1.1142210651964775,-1.119272315059982,-1.1370029478129369
-1.1233000085304754,-1.1350597690739506,-1.1324248712896408,-1.1382512202852242,-1.1460702907486622,-1.1649402704631144
-1.1560617184635023,-1.1675049951484882,-1.160051239699044,-1.164580916173077,-1.1753937017362093,-1.1949547814788617
-1.1967367364107986,-1.2030978886728576,-1.1913148556515694,-1.1939580879046616,-1.207343260465416,-1.2271149409555167
-1.244750076504329,-1.2420972203806742,-1.2266944274155436,-1.2270051528655472,-1.241921048098493,-1.2614217574633473
-1.2968433412688,-1.284559127157877,-1.2663027485566432,-1.2639950020012636,-1.2791270646354405,-1.2978752310023425
-1.3489269821966219,-1.330480776839829,-1.3101391623191263,-1.30495142706244,-1.3189613100762474,-1.336475361572491
-1.3972355319013787,-1.3796334617126944,-1.3580251494346045,-1.3498364098558455,-1.3614237844209243,-1.3772221491737924
-1.439853405278916,-1.4311906494238544,-1.4092409834905086,-1.3982653882774456,-1.4065144876694604,-1.4201155938062697
-1.4779906996526848,-1.4839148183161799,-1.4626566831619698,-1.449395425750447,-1.4542334198218556,-1.4651556954699232
-1.5148193911538785,-1.5365324589132914,-1.5170969831887875,-1.502232743631771,-1.504580580878087,-1.512342454164741
-1.5538553893265319,-1.587773004019073,-1.5713877598613522,-1.5557825699674597,-1.5575240803606223,-1.5616716338501533
-1.5982378670448953,-1.636647109849264,-1.6245389276696187,-1.6090883650863477,-1.6127198035551715,-1.6131099165065963
-1.64831943756044,-1.6834243818825827,-1.6762268548637054,-1.6616016632280208,-1.6693977779412879,-1.666590107807497
-1.7002364755321198,-1.7297640647540562,-1.7267588033295056,-1.713439292942644,-1.7266412685495653,-1.7220359702177919
-1.7483016335525123,-1.7777398388097825,-1.7765927018627279,-1.7650356701675265,-1.7835323020086546,-1.779371253362399
-1.7891454901794193,-1.8294308490818367,-1.8261898096442337,-1.8168473455444656,-1.8391381976268577,-1.8385239429066929
-1.824396867647272,-1.8858598959321398,-1.876055448588602,-1.869334339033401,-1.8924602295840713,-1.8994511064951438
-1.859652982776936,-1.9400725357561328,-1.9271032548277276,-1.923072024068722,-1.9424517409790385,-1.9621436880791407
-1.9017583773868183,-1.975667211774385,-1.9807763654108843,-1.978846132725562,-1.9901194626123813,-2.0266016748186417
-1.955987612093918,-2.0121086346931523,-2.038682668830347,-2.0375381142559945,-2.044342726250227,-2.0927971379252766
-2.023708004893706,-2.091701105805112,-2.102417919519678,-2.1000267778481887,-2.1107483623606305,-2.16027315359986
-2.101260029130515,-2.178230552232151,-2.1732084290574565,-2.167247285358724,-2.1766262363704643,-2.2278885893342135
-2.182045261342432,-2.2499371537014783,-2.251109118048919,-2.2401752084794793,-2.245565497118196,-2.295759784945221
-2.2603592334495715,-2.354947733068184,-2.3350776440461463,-2.3195517416209213,-2.33179331133714,-2.3682947358572903
-2.3427835322904116,-2.477329829084761,-2.4237854227950724,-2.4058811434153884,-2.4237838706862136,-2.450725425156344
-2.4595284379618763,-2.5622712550596134,-2.5160477088854805,-2.49947645234264,-2.5116679878114265,-2.5406742970017206
-2.5583622384204205,-2.643164874874901,-2.6114860123849213,-2.5991999624978352,-2.608779058446737,-2.6293410178270165
-2.635392380966005,-2.7535630419060566,-2.710769456876767,-2.7019548620172373,-2.713735751633834,-2.7086973624882718
-2.751523139140864,-2.864989525996589,-2.8146855862028928,-2.8042399726475202,-2.8124521569518492,-2.787813671943457
-2.8793967168290924,-2.971903653675406,-2.9225390343788322,-2.9059550781605257,-2.908479456494837,-2.8880995814964026
-2.9809387180583036,-3.0806389455559953,-3.0319674007452706,-3.012131595414803,-3.0074320573620863,-2.996910410975125
-3.1111599382276385,-3.190861719062167,-3.1414039314218827,-3.1240419193228264,-3.1158241308699246,-3.1066721304134375
-3.276061348837766,-3.3145224607594006,-3.254646091395108,-3.262483137110638,-3.246496909745531,-3.24110801692313
-3.417534672994612,-3.4368350121644937,-3.3796665894059235,-3.394833300678903,-3.3761240494018296,-3.3842289905132192
-3.5565484941439367,-3.560884096846127,-3.511829153055311,-3.519862003501908,-3.5049185996881307,-3.5074176386307503
-3.6972715806723278,-3.694429139336023,-3.6573774064251614,-3.6564272054444187,-3.652100133233864,-3.624675867484132
-3.8576484536992783,-3.836782062997299,-3.798344026423854,-3.786282860649607,-3.791746083897709,-3.7544843977915607
-3.996551110623125,-3.9776118376100045,-3.9322539981103146,-3.9102730219161006,-3.906856758057449,-3.896349099380109
-4.167202898247467,-4.116952806842636,-4.062508475202276,-4.040461494006815,-4.031817924803499,-4.019986555367694
-4.309078806055357,-4.2551458824493755,-4.181280604846307,-4.1773705163391925,-4.1601547841274,-4.117376875960178
-4.388948338947427,-4.3729161186169225,-4.314713819126752,-4.3098062704455975,-4.280434615844905,-4.247117912667056
-4.499457997823066,-4.47993881248799,-4.445780764190966,-4.444799524298896,-4.390831870771456,-4.3478976864444405
-4.635958233150785,-4.601745233342223,-4.559870864553119,-4.543196186627199,-4.487212158645718,-4.407296223538606
-4.737897216948955,-4.717309772946954,-4.663351437390839,-4.640913443483351,-4.580235692834453,-4.492869720390894
-4.82365462028821,-4.791598186980707,-4.755739720990409,-4.733278277095327,-4.66671146747151,-4.581173964904173
-4.966752133721503,-4.899002972623481,-4.825321938863129,-4.804555991244331,-4.761282570594836,-4.6329361300432765
-5.093167512303695,-4.983840534410456,-4.895418944545872,-4.858453139719604,-4.833168604745794,-4.70104313437929
-5.163651336594792,-5.014087995770206,-4.966102835760364,-4.935027070726761,-4.879993665247321,-4.785364499054481
-5.191646178526532,-5.083941795846902,-5.031195845465266,-5.014251588677274,-4.938244363692917,-4.838951952931814
-5.271631031436129,-5.154650544330264,-5.101599987685012,-5.059371972685324,-4.995916871937545,-4.890544389040747
-5.3404396916668535,-5.173718888960151,-5.157416713005825,-5.095187094661133,-5.008527539620883,-4.9305022736637625
-5.403400331206666,-5.2174520869831,-5.182289067288952,-5.12551677908844,-5.012116709972809,-4.961629882041615
-5.447291734948289,-5.27193638556821,-5.209713942878887,-5.142122979281311,-5.056458458933099,-4.97620736001087
-5.452548699634065,-5.2750790859854595,-5.237792495951936,-5.150370013390466,-5.089430444083223,-4.985488238895721
-5.481309195795125,-5.29180874446733,-5.23012547699401,-5.160109347039776,-5.083869941372711,-4.989301496583198
-5.500121586774208,-5.3043732531877374,-5.208350266708453,-5.157260765318654,-5.080099851696451,-4.9647121375328025
