dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09,dQ_dV_11,dQ_dV_13,dQ_dV_15,dQ_dV_17
-0.15228256716389132,-0.15931570942784296,-0.16175479541200158,-0.16211513708616526,-0.16295246447430514,-0.16834858746197878,-0.167672454051523,-0.1664628655920176,-0.16637570316041056
-0.20535548882557186,-0.21476538682331542,-0.2178970811335591,-0.2184164971226564,-0.21979103650279883,-0.22628506579916174,-0.22538965070513006,-0.22364936294277346,-0.22380059191646487
-0.2597838020536103,-0.2715782090307774,-0.27534141871141055,-0.2760388987985848,-0.2780623989269466,-0.28531935281739434,-0.2842071520611845,-0.2818717183120605,-0.2823963672367923
-0.26567882394102754,-0.27752958316362997,-0.2810079276726697,-0.2817957613907197,-0.284385039272695,-0.29003214938057914,-0.2889329771796497,-0.2862964822941308,-0.2874522698383203
-0.2724557817727941,-0.2843453072235547,-0.2875181869544008,-0.2884009695879172,-0.29154899125098843,-0.2955211927858272,-0.2944345006918979,-0.2914757723865478,-0.2933067026597314
-0.27954695523716283,-0.2914422274697472,-0.2943249453011276,-0.2952951389933219,-0.298905122359588,-0.3013599938857283,-0.3002830181157265,-0.29701905801919115,-0.2994889615391571
-0.2869523443341791,-0.2988203439022414,-0.30142820271281606,-0.30247826960699054,-0.3064534325984368,-0.30754855268029363,-0.30647852945119214,-0.30292633919207224,-0.30599904647663156
-0.29467194906379746,-0.3064796565209918,-0.3088279591895571,-0.30995036142891197,-0.31419392196759194,-0.3140868691695346,-0.31302103469827214,-0.3091976159051001,-0.3128369574721774
-0.30270576942604066,-0.31442016532602113,-0.31652421473130515,-0.31771141445907464,-0.32212659046704173,-0.32097494335346255,-0.31991053385698937,-0.31583288815833155,-0.32000269452574914
-0.3110538054209315,-0.32264187031730673,-0.3245169693380262,-0.3257614286974786,-0.3302514380967523,-0.32821277523204345,-0.32714702692733233,-0.3228321559518122,-0.327496257637381
-0.3197160570484243,-0.3311447714948713,-0.3328062230097089,-0.33410040414413517,-0.33856846485676895,-0.3358003648053227,-0.33473051390931235,-0.3301954192854737,-0.33531764680708426
-0.32869252430849655,-0.33992886885870355,-0.3413919757464214,-0.3427283407990104,-0.3470776707470577,-0.343737712073289,-0.3426609948029182,-0.3379226781593161,-0.3434668620348248
-0.337983207201205,-0.3489941624088261,-0.3502742275481296,-0.351645238662104,-0.355779055767573,-0.35202481703589683,-0.3509384696081611,-0.34601393257338486,-0.3519439033205913
-0.3475881057265383,-0.35834065214521615,-0.3594529784148108,-0.3608510977334163,-0.36467261991837174,-0.3606616796931576,-0.3595629383250185,-0.35446918252768,-0.36074877066442923
-0.35750721988442824,-0.36796833806786255,-0.3689282283464877,-0.3703459180129812,-0.373758363199488,-0.3696483000451281,-0.36853440095351286,-0.36328842802215605,-0.3698814640662932
-0.3677405496749998,-0.37787722017678793,-0.37869997734320576,-0.3801296995008102,-0.38303628561084224,-0.37898467809176284,-0.3778528574936218,-0.3724716690568357,-0.37934198352621706
-0.3782880950981963,-0.38806729847194676,-0.38876822540491957,-0.390202442196869,-0.39250747011437853,-0.3886708138330732,-0.38751830794534503,-0.3820189056317531,-0.38913032904423517
-0.3891498561539493,-0.3985385729533846,-0.39913297253159497,-0.4005641461011578,-0.4021868524271327,-0.39870670726908203,-0.397530752308694,-0.39193013774688557,-0.3992465006202792
-0.4003258328423386,-0.4092910436211241,-0.4097942187232775,-0.41121481121368786,-0.4121104630945297,-0.4090923583997551,-0.40789019058368015,-0.4022053654021875,-0.4096904982543492
-0.4118160251633867,-0.42032471047514264,-0.4207519639799785,-0.42215443753444787,-0.42232280038455206,-0.4198277672250925,-0.41859662277028065,-0.412844588597693,-0.42046232194647926
-0.4236204331170143,-0.43163957351541743,-0.4320062083016524,-0.43338302506344917,-0.432868505252452,-0.4309129337451055,-0.4296500488685183,-0.423847807333425,-0.431561971696658
-0.4357390567032439,-0.44323563274197114,-0.443556951688322,-0.44490057380070314,-0.4437911356915151,-0.4423478579597941,-0.4410504688784158,-0.43521502160932646,-0.44298944750485136
-0.4481718959221326,-0.4551128881547925,-0.4554041941399988,-0.4567070837461984,-0.4551203969399467,-0.4541325398691356,-0.45279788279992766,-0.44694623142543155,-0.4547447493711274
-0.4609189507736119,-0.46727133975385876,-0.46754793565665975,-0.46880255489991207,-0.4668648994074602,-0.4662669794731642,-0.46489229063305404,-0.45904143678176296,-0.466827877295475
-0.47398022125769335,-0.47971098753921526,-0.4799881762382938,-0.4811869872618786,-0.47902478578126884,-0.4787511767718684,-0.4773336923778061,-0.47150063767830946,-0.4792388312778598
-0.487355707374411,-0.49243183151083947,-0.4927249158849463,-0.493860380832075,-0.4916000560613725,-0.49158513176524826,-0.49012208803420665,-0.4843238341150482,-0.49197761131827067
-0.5010454091237648,-0.5054338716687312,-0.5057581545965946,-0.5068227356105013,-0.5045907102477714,-0.5047688444533037,-0.5032574776021989,-0.49751102609199055,-0.5050442174167529
