dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09,dQ_dV_11,dQ_dV_13,dQ_dV_17,dQ_dV_19,dQ_dV_21,dQ_dV_23
-0.1608963545171161,-0.16236190161627678,-0.16510412229709995,-0.16422565980324536,-0.17002045403875177,-0.17033468322517753,-0.16603530104558978,-0.17142724515941832,-0.17125422542477917,-0.17855763556495804,-0.1725305630291521
-0.2168712433121197,-0.219008953185966,-0.22236176702723437,-0.2212592495489652,-0.2286283060040319,-0.22907140984926788,-0.2231214855575805,-0.2301970182829677,-0.2305048735911482,-0.2399496564136128,-0.23147668586325862
-0.2742204887854211,-0.2771115265015685,-0.28092297702312374,-0.27962996938271445,-0.28839311669818246,-0.2889793153066073,-0.2812700142211516,-0.28997150559289364,-0.29104458849063075,-0.3024873422216031,-0.2913388620739104
-0.280196049952508,-0.2834935102785039,-0.2865917370254124,-0.2854583160317475,-0.2933787574940879,-0.2940266555057974,-0.28580646216194056,-0.29423908005040855,-0.29661211838193824,-0.3073738801798186,-0.29517333422983255
-0.2870678333441788,-0.29077111900789987,-0.29310956335409627,-0.29214396647175817,-0.299163551138372,-0.2998825496720883,-0.2911181829197744,-0.2992626509823708,-0.3030574520473579,-0.31310220497648517,-0.2997536011125476
-0.29426122271340777,-0.2983069801673309,-0.2999309030574864,-0.2991199842148035,-0.30528784245029783,-0.3060814662237363,-0.29680544327957253,-0.3046764363470061,-0.3098616632628819,-0.3192443057097194,-0.30477658805457397
-0.30177621806025173,-0.30610109375675165,-0.30705575613557134,-0.3063863692609289,-0.3117516314298541,-0.3126234051607526,-0.30286824324132344,-0.31048043614432574,-0.31702475202845337,-0.32580018237952124,-0.3102422950559117
-0.30961281938469937,-0.31415345977617337,-0.31448412258836245,-0.31394312161008886,-0.31855491807704084,-0.3195083664831486,-0.3093065828050044,-0.3166746503743525,-0.3245467183440383,-0.332769834985902,-0.31615072211657214
-0.31777102668672796,-0.32246407822564155,-0.3222160024158598,-0.3217902412622948,-0.3256977023918808,-0.3267363501909586,-0.3161204619706496,-0.32325907903704093,-0.3324275622097503,-0.3401532635288618,-0.3225018692365666
-0.3262508399663716,-0.3310329491051334,-0.33025139561808603,-0.32992772821753535,-0.3331799843743397,-0.3343073562841368,-0.3233098807382703,-0.3302337221324024,-0.3406672836255325,-0.3479504680084461,-0.3292957364158838
-0.3350522592235848,-0.33986007241461497,-0.3385903021950071,-0.33835558247585595,-0.3410017640244291,-0.3422213847626722,-0.33087483910778703,-0.3375985796604368,-0.3492658825913509,-0.3561614484245752,-0.33653232365453506
-0.3441752844583789,-0.34894544815414297,-0.34723272214662304,-0.34707380403721116,-0.349163041342149,-0.35047843562661,-0.3388153370792452,-0.345353651621133,-0.3582233591072282,-0.3647862047772947,-0.34421163095249774
-0.3536199156707994,-0.35828907632364926,-0.3561786554729565,-0.3560823929015896,-0.35766381632749933,-0.3590785088759617,-0.34713137465269034,-0.35349893801451343,-0.36753971317319845,-0.37382473706660446,-0.3523336583097717
-0.3633861528608122,-0.3678909569231792,-0.3654281021739507,-0.3653813490690254,-0.3665040889804573,-0.368021604510659,-0.3558229518280655,-0.3620344388405897,-0.37721494478919343,-0.3832770452925047,-0.360898405726357
-0.37347399602837184,-0.3777510899527102,-0.37498106224967387,-0.3749706725395413,-0.3756838593010343,-0.37730772253073613,-0.3648900686053935,-0.37096015409937305,-0.3872490539552359,-0.3931431294549498,-0.36990587320227636
-0.38388344517354656,-0.3878694754122648,-0.3848375357001146,-0.38485036331309175,-0.38520312728924183,-0.3869368629362271,-0.37433272498470843,-0.3802760837908182,-0.3976420406713601,-0.4034229895539966,-0.3793560607374957
-0.3946145002963135,-0.3982461133018433,-0.39499752252526155,-0.39502042138967686,-0.3950618929451025,-0.3969090257270864,-0.3841509209659648,-0.38998222791497034,-0.40839390493756583,-0.414116625589611,-0.38924896833203776
-0.40566716139665004,-0.4088810036214454,-0.4054610227250919,-0.4054808467693306,-0.4052601562686164,-0.40722421090328004,-0.39434465654913997,-0.4000785864717842,-0.4195046467538077,-0.42522403756181576,-0.39958459598592533
-0.4170414284746016,-0.4197741463710486,-0.4162280362996853,-0.416231639452019,-0.4157979172597493,-0.4178824184648761,-0.40491393173427925,-0.410565159461271,-0.43097426612013123,-0.4367452254706109,-0.4103629436991128
-0.42873730153017964,-0.4309255415506755,-0.4272985632489508,-0.42727279943775337,-0.4266751759185127,-0.4288836484118633,-0.41585874652138277,-0.42144194688343084,-0.442802763036525,-0.4486801893159964,-0.42158401147160024
-0.44075478056333856,-0.442335189160292,-0.43867260357291116,-0.43860432672654504,-0.43789193224491785,-0.4402279007442189,-0.4271791009104391,-0.4327089487383092,-0.45499013750296624,-0.4610289290979608,-0.4332477993034217
-0.4530938655740784,-0.45400308919988674,-0.45035015727158906,-0.4502262213184054,-0.44944818623894206,-0.4519151754619657,-0.4388749949014369,-0.44436616502584914,-0.46753638951945503,-0.47379144481650426,-0.44535430719456603
-0.46575455656242193,-0.46592979656741135,-0.46233122434493906,-0.4621384832133003,-0.46134393790056266,-0.46394547256511487,-0.4509464284943761,-0.4564135957460621,-0.4804415190860368,-0.4869677364716154,-0.4579035351450216
-0.47873685352834633,-0.47812123584687927,-0.47461580479298393,-0.4743411124112186,-0.4735791872298364,-0.4763187920536438,-0.4633934016892795,-0.4688512408989822,-0.4937055262026547,-0.5005578040633054,-0.4708954831548112
-0.49204075647185164,-0.49059061922166625,-0.487203898615769,-0.4868341089121828,-0.48615393422674064,-0.48903513392752984,-0.476215914486113,-0.4816791004845641,-0.5073284108693088,-0.5145616475915631,-0.48433015122392364
-0.5056662653929607,-0.5033536519356973,-0.500095505813249,-0.49961747271621565,-0.4990681788912753,-0.5020944981867842,-0.48941396688489935,-0.4948971745028189,-0.5213101730860672,-0.5289792670564111,-0.498207539352336
-0.5196133802916735,-0.516426059482376,-0.5132906263854011,-0.5126912038232831,-0.5123219212234518,-0.5154968848314411,-0.5029875588856498,-0.5085054629537468,-0.5356508128528845,-0.5438106624578496,-0.5125276475400711
-0.5338821011679897,-0.5298230124570751,-0.5267892603322935,-0.5260553022333966,-0.5259151612232472,-0.5292422938614664,-0.5169366904883532,-0.5225039658373704,-0.5503503301697605,-0.5590558337958442,-0.5272904757871402
-0.5484724280219098,-0.5435543117691168,-0.5405914076539035,-0.5397097679465788,-0.5398478988906619,-0.5433307252768714,-0.5312613616930093,-0.5368926831536556,-0.565408725036707,-0.5747147810704405,-0.542496024093532
-0.5633843608534221,-0.5576224707284951,-0.5546970683501854,-0.5536546009627841,-0.5541201342257296,-0.5577621790776789,-0.5459615724995956,-0.5516716149026252,-0.5808259974537123,-0.5907875042816499,-0.5581442924592466
-0.578617899662504,-0.572027509584575,-0.569106242421185,-0.5678898012820582,-0.5687318672284164,-0.5725366552638661,-0.561037322908112,-0.5668407610842906,-0.5966021474207538,-0.6072740034294043,-0.5742352808842724
-0.5941730444491783,-0.5867694283372998,-0.5838189298669363,-0.582415368904367,-0.5836830978987336,-0.5876541538354104,-0.5764886129186494,-0.5824001216986403,-0.6127371749378654,-0.6241742785137604,-0.5907689893686097
-0.6100497952134675,-0.6018482269867719,-0.5988351306873597,-0.5972313038297216,-0.5989738262367041,-0.6031146747923571,-0.5923154425311168,-0.5983496967456858,-0.6292310800050359,-0.6414883295347068,-0.607745417912247
-0.6262481519553376,-0.6172639055329229,-0.6141548448824665,-0.6123376060581449,-0.6146040522423051,-0.6189182181346724,-0.6085178117454916,-0.6146894862253931,-0.6460838626222539,-0.6592161564922094,-0.625164374074484
-0.6427681146747772,-0.6330164639757414,-0.629778072452291,-0.6277342755896143,-0.6305737759155363,-0.6350647838623559,-0.6250957205618535,-0.6314194901377506,-0.6632955227895764,-0.6773577593862797,-0.6430153031652026
-0.6596096833718434,-0.6491059023152957,-0.6457031936730006,-0.6434213124241069,-0.6468805978122533,-0.6515495819939702,-0.6420491689260416,-0.6485397084828037,-0.680866060506969,-0.6959131382169518,-0.6612624618710243
-0.6767728580465131,-0.6655322205515631,-0.661910531321587,-0.6593987165616568,-0.6634992184209978,-0.6683429036000916,-0.6593718814264435,-0.6660501412605642,-0.6987954757743978,-0.7148822929842027,-0.6798538793711828
-0.6942575266677523,-0.6822917981324055,-0.6783544005364774,-0.675666114570106,-0.6803734423180118,-0.6853896241548227,-0.6770277335272794,-0.6839495168415965,-0.7170837685918742,-0.734265223688044,-0.6987363761522716
-0.7120453023566483,-0.6993463331788122,-0.6949794277578122,-0.692211779955187,-0.6974365975509158,-0.7026293324800008,-0.6949514922957293,-0.702216439890799,-0.7357309389594435,-0.7540619303284529,-0.7178569651416182
-0.7300615625383557,-0.7166106594010445,-0.7117301205906188,-0.709000507443875,-0.7146219309277398,-0.7200016173751578,-0.7130723902228852,-0.720796239752167,-0.7547369868770604,-0.7742724129054409,-0.7371730215159744
-0.7481888198522825,-0.7339836818116396,-0.728552606363678,-0.7259839136768392,-0.7318650887007494,-0.7374508576211952,-0.7313196598541026,-0.7396194566204373,-0.7741019123447018,-0.7948966714190192,-0.7566671090753233
