dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09,dQ_dV_11,dQ_dV_13
-0.15763112814784816,-0.17256533573297114,-0.1764784672749956,-0.1807253038120894,-0.18404889037008365,-0.17794405383625334,-0.16203729147912388
-0.21299139555304264,-0.23265756894480413,-0.23774518398614097,-0.24313482746421647,-0.2474568028872134,-0.23967146278868912,-0.21853059943569011
-0.2699654313649219,-0.29422752936909186,-0.30042608188449,-0.30682397730503685,-0.31209191363926925,-0.30280557816734843,-0.27645949405360914
-0.27705955046175174,-0.3007133695537618,-0.30661013729579734,-0.31237166486279194,-0.31738789174371507,-0.3089392946549424,-0.28274114235665593
-0.28512839249528954,-0.3081020056162288,-0.31368104323180435,-0.31876979580641773,-0.32352388291835726,-0.315972826785935,-0.2899190756632834
-0.2934554479646977,-0.31574284517334944,-0.32102850290791596,-0.325491973352348,-0.33000820325106583,-0.32330860880967977,-0.2973716115436446
-0.3020407168699194,-0.32363588822515793,-0.3286525163240981,-0.3325381975005598,-0.33684085274187514,-0.33094664072614255,-0.30509874999775094
-0.3108841992110115,-0.3317811347717225,-0.33655308348036217,-0.33990846825111026,-0.3440218313907508,-0.3388869225353233,-0.31310049102560245
-0.31998589498798535,-0.34017858481295205,-0.34473020437674223,-0.3476027856039764,-0.3515511391977157,-0.3471294542372561,-0.3213768346271763
-0.32934580420084103,-0.3488282383488582,-0.3531838790131815,-0.3556211495591356,-0.3594287761628039,-0.35567423583194113,-0.32992778080248397
-0.33896392684953297,-0.35773009537949746,-0.36191410738970264,-0.3639635601165878,-0.36765474228593575,-0.3645212673193896,-0.33875332955154813
-0.3488402629340953,-0.36688415590482465,-0.37092088950630575,-0.3726300172763445,-0.3762290375671341,-0.3736705486995902,-0.3478534808743575
-0.35897481245458496,-0.37629041992482826,-0.380204225363002,-0.38162052103841687,-0.3851516620064558,-0.38312207997253156,-0.35722823477085514
-0.3693675754108995,-0.3859488874395538,-0.3897641149597689,-0.3909350714028051,-0.3944226156038667,-0.39287586113819095,-0.3668775912411434
-0.38001855180302757,-0.39585955844900134,-0.3996005582966518,-0.40057366836947494,-0.40404189835932136,-0.40293189219659103,-0.37680155028517676
-0.39092774163106014,-0.40602243295313656,-0.4097135553735939,-0.41053631193847195,-0.41400951027289923,-0.41329017314775457,-0.38700011190290984
-0.4020951448949632,-0.41643751095194825,-0.42010310619064056,-0.42082300210978474,-0.4243254513445777,-0.4239507039916248,-0.3974732760943994
-0.4135207615947024,-0.4271047924454706,-0.43076921074779195,-0.43143373888336783,-0.4349897215742999,-0.43491348472823577,-0.4082210428596568
-0.4252045917303121,-0.43802427743365796,-0.4417118690450252,-0.4423685222592553,-0.4460023209621113,-0.4461785153576102,-0.41924341219861394
-0.4371466353017922,-0.44919596591654454,-0.45293108108231767,-0.45362735223746997,-0.45736324950803464,-0.4577457958797482,-0.4305403841112934
-0.44934689230915414,-0.46061985789416443,-0.46442684685972613,-0.46521022881797763,-0.46907250721203586,-0.4696153262945927,-0.44211195859775215
-0.4618053627523977,-0.4722959533664949,-0.47619916637721643,-0.47711715200078975,-0.4811300940740921,-0.48178710660218943,-0.45395813565793336
-0.4745220466314663,-0.4842242523335131,-0.48824803963477736,-0.4893481217859176,-0.4935360100942489,-0.49426113680253825,-0.46607891529182555
