dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07
-0.15660536047924445,-0.17116248671300455,-0.17768569853196775,-0.17387707656766394
-0.21157213664649255,-0.230683937082225,-0.23913542294751503,-0.23454197351812295
-0.2681259150785821,-0.2916310073331293,-0.30188715868573535,-0.2967549444830246
-0.2750966350387444,-0.29787333969740076,-0.30755019029597863,-0.30356496523457965
-0.28303164636296285,-0.3050014391059904,-0.31406024690934375,-0.3113053353068608
-0.2912294118897307,-0.3123956263659693,-0.3208718717408715,-0.31928618586144925
-0.2996899316190479,-0.3200559014773262,-0.32798506479059597,-0.3275075168983562
-0.3084132055508576,-0.3279822644401293,-0.3353998260584945,-0.33596932841760463
-0.31739923368519385,-0.33617471525433307,-0.3431161555445101,-0.34467162041917165
-0.32664801602209087,-0.344633253919892,-0.3511340532487225,-0.35361439290302316
-0.33615955256149166,-0.3533578804368972,-0.35945351917109747,-0.3627976458691819
-0.3459338433033736,-0.36234859480530307,-0.3680745533116351,-0.3722213793176479
-0.3559708882478276,-0.3716053970250869,-0.37699715567033537,-0.3818855932484326
-0.3662706873948196,-0.3811282870962714,-0.3862213262471983,-0.39179028766155855
-0.3768332407443154,-0.39091726501889074,-0.3957470650422352,-0.4019354625569804
-0.3876585482963378,-0.4009723307929108,-0.4055743720554347,-0.41232111793470955
-0.39874661005087547,-0.41129348441830876,-0.4157032472867741,-0.42294725379478
-0.41009742600795107,-0.42188072589510744,-0.42613369073627605,-0.43381387013716904
-0.421710996167576,-0.43273405522329544,-0.43686570240397493,-0.444920966961854
-0.4335873205296935,-0.44385347240287276,-0.44789928228981357,-0.4562685442688689
-0.4457263990943375,-0.4552389774338508,-0.45923443039381484,-0.4678566020582025
-0.45812823186153084,-0.46689057031625225,-0.4708711467160015,-0.4796851403298547
-0.4707928188312394,-0.4788082510500544,-0.48280943125633946,-0.49175415908381415
-0.4837201600034178,-0.4909920196352573,-0.49504928401481724,-0.5040636583200695
-0.49691025537816813,-0.503441876071895,-0.5075907049915032,-0.5166136380386548
-0.510363104955468,-0.516157820359922,-0.5204336941863631,-0.5294040982395586
-0.5240787087352943,-0.5291398524993156,-0.5335782515993629,-0.5424350389227698
-0.5380570667176243,-0.5423879724901326,-0.5470243772305139,-0.5557064600882768
-0.5522981789025266,-0.5559021803323504,-0.560772071079839,-0.5692183617361366
-0.5668020452898986,-0.5696824760259575,-0.5748213331473153,-0.5829707438662922
-0.581568665879786,-0.5837288595709539,-0.5891721634329314,-0.5969636064787438
-0.5965980406721997,-0.5980413309673509,-0.6038245619367331,-0.6111969495735481
-0.6118901696671402,-0.6126198902151714,-0.6187785286587428,-0.6256707731506482
-0.6274450528645843,-0.627464537314404,-0.6340340635989037,-0.6403850772100441
-0.6432626902646008,-0.6425752722650031,-0.6495898784956922,-0.6553398617517816
-0.6593425912756744,-0.6579515682087049,-0.6654289953181092,-0.6705351267758602
-0.6756742589644887,-0.673583203108035,-0.6815110089601375,-0.6859708722822121
-0.6922290543225018,-0.6894430078615074,-0.6977863498230705,-0.7016470982708939
-0.7089693998471034,-0.7054957880372399,-0.7142053093824303,-0.717563804741917
-0.7258574058665546,-0.7217061026160991,-0.7307194673752407,-0.7337209916952361
-0.7428556733006075,-0.7380390374372269,-0.7472960933079549,-0.7501186591308625
-0.7599368094108286,-0.7544693735189526,-0.7639258837620446,-0.766756807048796
-0.7770915635340203,-0.7709888389435605,-0.7806086998117052,-0.7836354354490709
-0.7943196235010191,-0.7875971871237994,-0.7973445414569141,-0.800754544331653
-0.811620989311814,-0.8042944180597034,-0.8141334086976031,-0.8181141336965311
-0.8289956609663933,-0.8210805317512269,-0.8309753015338174,-0.8357142035437278
-0.8464436384647571,-0.8379555281984152,-0.8478702199656255,-0.8535547538732431
-0.8639649218068827,-0.8549194074012689,-0.864818163992959,-0.8716357846850543
-0.881559510992804,-0.8719721693597309,-0.8818191336157839,-0.8899572959791727
-0.8992274060225556,-0.8891138140738349,-0.8988731288341798,-0.9085192877556438
-0.9169686068960915,-0.9063443415436269,-0.9159801496481466,-0.9273217600144336
-0.9347831136133892,-0.9236637517690383,-0.9331401960575819,-0.9463647127555533
-0.9526709261745054,-0.9410720447500693,-0.9503532680625654,-0.9656481459789689
-0.9706320445794177,-0.9585692204867995,-0.9676193656631086,-0.9851720596846805
-0.9886664688280916,-0.9761552789791723,-0.9849384888591999,-1.0049366168185203
-1.0067741989205388,-0.9938302202271645,-1.0023106376507713,-1.024972754810085
-1.0249552348567932,-1.0115940442308102,-1.0197358133630132,-1.0454084837395727
-1.0432111217856461,-1.0294468549837006,-1.0372616423492786,-1.0664469894019022
-1.0616977490761657,-1.0474742965089263,-1.0551568411172751,-1.088300172194056
-1.0810037624534177,-1.0660874096621684,-1.0739030765144548,-1.1111797695672068
-1.1020277031664705,-1.0859790126016606,-1.0940214992766755,-1.1352667444887516
-1.125698050703909,-1.1078837399914618,-1.1160332588145252,-1.1606449872755207
-1.1529417394054917,-1.132536122502029,-1.1404118795103613,-1.187323212529634
-1.1845313593906668,-1.1605851507744094,-1.1674097955922662,-1.2153014202510917
-1.2208067444229416,-1.192354418616958,-1.197066490948555,-1.2445783297837352
-1.261797832741809,-1.2278857425354999,-1.229381965579171,-1.27514472446029
-1.3074727573730114,-1.2671780415659442,-1.2643203207387614,-1.3069825770523948
-1.3571999394351906,-1.3100075879326822,-1.3016074751439988,-1.340071704022796
-1.4092910294523677,-1.3554384258170673,-1.3406962737755974,-1.3743919207314093
-1.4615527800400514,-1.4019781140800889,-1.3809686965879564,-1.409924323194264
-1.5117759715672379,-1.448068388457648,-1.4218066484526046,-1.446659510046959
-1.5577832513771908,-1.492152065649623,-1.4626279329864134,-1.4846238318269798
-1.5981027095251648,-1.5328966498009893,-1.503103518099829,-1.5238917423680278
-1.633325745565162,-1.569931345662701,-1.5433200691512412,-1.5645588617004709
-1.6659051716068007,-1.6041701022450185,-1.5836273308089859,-1.6067214026938132
-1.6986970525816334,-1.6371288013802088,-1.624440195432908,-1.6504740116091514
-1.7335683497419725,-1.6703786075884068,-1.666174055664351,-1.69588439336668
-1.7707230485676975,-1.7054886447561557,-1.709229322389058,-1.7429743058993383
-1.8088203992590708,-1.7437785642068888,-1.7538637827807406,-1.7917443420462293
-1.8465059565749358,-1.7858397583253123,-1.8001430097294815,-1.8421945018073418
