dQ_dV_01,dQ_dV_03,dQ_dV_05,dQ_dV_07,dQ_dV_09
-0.1615931166819652,-0.1740703660331649,-0.17556444847643127,-0.18058258757940232,-0.17629448777116852
-0.21788679555511148,-0.23440206285083764,-0.23648616203370615,-0.24297335532572173,-0.237415914301415
-0.27559573960081446,-0.29608056939570293,-0.29880062449903255,-0.3066570548160992,-0.2999077814457461
-0.28176902376673074,-0.3019510471670174,-0.30488700827056625,-0.31226984414538494,-0.305890545716602
-0.2888453496294574,-0.30868509580302544,-0.31185075281089214,-0.3187345028656182,-0.3127427487870137
-0.29622230489303547,-0.3157117075176302,-0.3190929378354781,-0.3255151669995371,-0.319878364922829
-0.30389988955749914,-0.32303088231086574,-0.3266135633443128,-0.3326118365471985,-0.32729739412401393
-0.3118781036228029,-0.3306426201827662,-0.33441262933737337,-0.34002451150857954,-0.33499983639057973
-0.32015694708896947,-0.3385469211332748,-0.34249013581473947,-0.3477531918836576,-0.3429856917225266
-0.32873641995604436,-0.34674378516237997,-0.35084608277634294,-0.35579787767244403,-0.3512549601198657
-0.3376165222239592,-0.3552332122700932,-0.35948047022218366,-0.36415856887495013,-0.35980764158257444
-0.34679725389277116,-0.36401520245646,-0.36839329815227306,-0.3728352654911874,-0.36864373611066414
-0.35627861496249125,-0.37308975572141206,-0.3775845665666793,-0.3818279675211329,-0.3777632437041347
-0.36606060543304014,-0.38245687206500634,-0.3870542754653002,-0.3911366749647982,-0.3871661643630091
-0.37614322530444044,-0.39211655148722,-0.3968024248481925,-0.400761387822206,-0.3968524980872758
-0.3865264745767604,-0.40206879398807593,-0.4068290147153562,-0.4107021060933221,-0.40682224487690066
-0.3972103532499432,-0.41231359956753977,-0.41713404506680263,-0.42095882977810106,-0.4170754047319065
-0.4081948613239775,-0.4228509682256231,-0.4277175159024864,-0.43153155887662253,-0.4276119776522933
-0.4194799987989086,-0.43368089996229175,-0.43857942722243026,-0.4424202933888523,-0.43843196363807246
-0.4310660125278901,-0.4448033947776026,-0.4497197790266341,-0.4536250333147677,-0.4495353626892098
-0.44295496293885894,-0.45621845267154415,-0.46113857131509806,-0.46514577865443696,-0.4609221748057394
-0.45515108987806346,-0.4679260736441052,-0.4728358040877993,-0.4769825294078373,-0.4725923999876727
-0.46765924730548253,-0.47992625769527425,-0.4848114773447719,-0.48913528557493463,-0.48454603823498704
-0.48048429059816733,-0.49221900482510816,-0.49706559108603865,-0.501604047155729,-0.4967830895476709
-0.49363082827999283,-0.5048043150335503,-0.509598145311577,-0.514388814150243,-0.5093035539257584
-0.5071016553001186,-0.517682188320589,-0.5224091400213411,-0.5274895865584768,-0.522107431369227
-0.5208973871894045,-0.530852624686247,-0.5354985752153766,-0.5409063643804644,-0.5351947218780766
-0.5350180253649228,-0.5443156241305473,-0.5488664508936836,-0.5546391476161489,-0.5485654254523183
-0.5494635698267075,-0.5580711866534558,-0.5625127670562279,-0.5686879362655418,-0.5622195420919069
-0.564234020574736,-0.5721193122549721,-0.5764375237030208,-0.5830527303286317,-0.5761570717968653
-0.5793293776089968,-0.5864600009351306,-0.5906407208340966,-0.597733529805464,-0.5903780145672272
-0.5947496409295127,-0.6010932526938972,-0.6051223584494552,-0.6127303346959707,-0.6048823704029701
-0.6104948105362723,-0.6160190675312833,-0.6198824365490737,-0.6280431450001742,-0.6196701393041166
-0.6265648864292417,-0.6312374454473002,-0.6349209551329296,-0.6436718996898209,-0.6347413212706555
-0.6429598686085343,-0.6467461761737809,-0.650236053039248,-0.6596097925720983,-0.6500959163025755
-0.6596726927642294,-0.6625247330455863,-0.6658141150854704,-0.6758307123086524,-0.665733924399865
-0.6766581841622042,-0.6785293531503612,-0.6816283590721696,-0.6922945255656145,-0.6816553455625239
-0.6938315957413239,-0.6947091116823345,-0.697648726542127,-0.7089596980227952,-0.6978601797905298
-0.7110996539881057,-0.7110130520607301,-0.7138451569382028,-0.7257847563883048,-0.7143484270839509
-0.728369085149393,-0.7273924279729046,-0.7301894508650094,-0.7427349725347882,-0.7311200874427528
-0.7455536797819492,-0.7438168095032325,-0.746665162947943,-0.7597949234803423,-0.748175160866947
-0.7626053388667288,-0.7602790029833387,-0.763269014829291,-0.7769632082387148,-0.7655136473565336
