CellID,Index,Ah-throughput,Q
TP_z01_01,0,2.2737367544323206e-13,1.0
TP_z01_01,0,1254.3830162348997,0.995
TP_z01_01,0,2065.6447425617857,0.99
TP_z01_01,0,2965.5365655836736,0.985
TP_z01_01,0,4600.058064597749,0.98
TP_z01_01,0,6158.30355569532,0.975
TP_z01_01,0,7937.324933300451,0.97
TP_z01_01,0,9968.650499246876,0.965
TP_z01_01,0,12206.849488971482,0.96
TP_z01_01,0,14334.87803511753,0.955
TP_z01_01,0,16654.15061611403,0.95
TP_z01_02,1,5.684341886080802e-14,1.0
TP_z01_02,1,323.89781725630996,0.995
TP_z01_02,1,1226.57458951418,0.99
TP_z01_02,1,2245.236812616677,0.985
TP_z01_02,1,3511.0028060514405,0.98
TP_z01_02,1,5413.090126876571,0.975
TP_z01_02,1,7288.749898198593,0.97
TP_z01_02,1,9440.980488977619,0.965
TP_z01_02,1,11877.72999799116,0.96
TP_z01_02,1,14162.102210938283,0.955
TP_z01_02,1,16665.747188113262,0.95
TP_z01_03,2,5.684341886080802e-14,1.0
TP_z01_03,2,461.9735064110567,0.995
TP_z01_03,2,1447.674687015474,0.99
TP_z01_03,2,2216.7016919840485,0.985
TP_z01_03,2,4928.328501354774,0.98
TP_z01_03,2,5761.384026401966,0.975
TP_z01_03,2,7806.776606277728,0.97
TP_z01_03,2,10038.228289311655,0.965
TP_z01_03,2,12431.554215633336,0.96
TP_z01_03,2,14649.340972085602,0.955
TP_z01_03,2,17448.112381124436,0.95
TP_z02_01,3,2.842170943040401e-14,1.0
TP_z02_01,3,889.7721337019356,0.995
TP_z02_01,3,1867.74257183369,0.99
TP_z02_01,3,3316.792902520899,0.985
TP_z02_01,3,5350.762231330946,0.98
TP_z02_01,3,7477.372648184813,0.975
TP_z02_01,3,9637.821550374305,0.97
TP_z02_01,3,11614.691060539066,0.965
TP_z02_01,3,13905.744631981499,0.96
TP_z02_01,3,16317.65373607395,0.955
TP_z02_01,3,18594.078530583538,0.95
TP_z02_02,4,2.842170943040401e-14,1.0
TP_z02_02,4,1022.5513984546362,0.995
TP_z02_02,4,1832.5410489813617,0.99
TP_z02_02,4,3367.83254005955,0.985
TP_z02_02,4,5474.64214594132,0.98
TP_z02_02,4,7615.530695954365,0.975
TP_z02_02,4,9884.049148963799,0.97
TP_z02_02,4,11864.807580750707,0.965
TP_z02_02,4,14386.893160473173,0.96
TP_z02_02,4,16759.608030231608,0.955
TP_z02_02,4,19215.519942260882,0.95
TP_z02_03,5,2.842170943040401e-14,1.0
TP_z02_03,5,923.4124929158902,0.995
TP_z02_03,5,1799.2522244756397,0.99
TP_z02_03,5,2783.440775381547,0.985
TP_z02_03,5,4748.359047292489,0.98
TP_z02_03,5,6751.445283399385,0.975
TP_z02_03,5,9141.325679692136,0.97
TP_z02_03,5,11346.020779677221,0.965
TP_z02_03,5,13649.14561674895,0.96
TP_z02_03,5,16139.899406518009,0.955
TP_z02_03,5,18514.65530228664,0.95
TP_z03_01,6,5.684341886080802e-14,1.0
TP_z03_01,6,353.9287535055962,0.995
TP_z03_01,6,931.6359666747883,0.99
TP_z03_01,6,1782.9356453759706,0.985
TP_z03_01,6,2806.691133647568,0.98
TP_z03_01,6,4159.259893406792,0.975
TP_z03_01,6,5735.028096893064,0.97
TP_z03_01,6,7400.079055034041,0.965
TP_z03_01,6,9160.569270092863,0.96
TP_z03_01,6,11217.631117720131,0.955
TP_z03_01,6,13527.357723041214,0.95
TP_z03_02,7,1.4210854715202004e-13,1.0
TP_z03_02,7,454.36630423447485,0.995
TP_z03_02,7,1151.6413219353572,0.99
TP_z03_02,7,2176.5060216057823,0.985
TP_z03_02,7,3260.9455950512374,0.98
TP_z03_02,7,4606.516118593027,0.975
TP_z03_02,7,6458.571887593666,0.97
TP_z03_02,7,8164.390626873799,0.965
TP_z03_02,7,10104.78876007609,0.96
TP_z03_02,7,12443.351729426833,0.955
TP_z03_02,7,15057.017811275133,0.95
TP_z03_03,8,5.684341886080802e-14,1.0
TP_z03_03,8,431.19602801375817,0.995
TP_z03_03,8,1147.433980736852,0.99
TP_z03_03,8,2219.740604371705,0.985
TP_z03_03,8,3162.702191765188,0.98
TP_z03_03,8,4533.689979276452,0.975
TP_z03_03,8,6175.705426486283,0.97
TP_z03_03,8,7859.834770387868,0.965
TP_z03_03,8,9726.571566157838,0.96
TP_z03_03,8,12006.960727368567,0.955
TP_z03_03,8,14421.105688647332,0.95
TP_z06_01,9,4.440892098500626e-15,1.0
TP_z06_01,9,570.3516929135116,0.995
TP_z06_01,9,1050.9326966112553,0.99
TP_z06_01,9,1945.5708821026597,0.985
TP_z06_01,9,2877.7511459072675,0.98
TP_z06_01,9,3691.8183826228615,0.975
TP_z06_01,9,5035.94088293807,0.97
TP_z06_01,9,6410.347807043626,0.965
TP_z06_01,9,7868.77855300604,0.96
TP_z06_01,9,9409.732711630113,0.955
TP_z06_01,9,10604.731837736064,0.95
TP_z06_02,10,3.3306690738754696e-14,1.0
TP_z06_02,10,438.50841835987734,0.995
TP_z06_02,10,894.8684876220526,0.99
TP_z06_02,10,1701.5659237213713,0.985
TP_z06_02,10,2669.6845231746274,0.98
TP_z06_02,10,3507.75831870374,0.975
TP_z06_02,10,4647.664867639339,0.97
TP_z06_02,10,6145.563215903392,0.965
TP_z06_02,10,7758.680844474412,0.96
TP_z06_02,10,9401.612193453793,0.955
TP_z06_02,10,10652.66051283805,0.95
TP_z06_03,11,5.684341886080802e-14,1.0
TP_z06_03,11,344.7255060453809,0.995
TP_z06_03,11,815.4127152934689,0.99
TP_z06_03,11,1637.286482464364,0.985
TP_z06_03,11,2750.5137127311564,0.98
TP_z06_03,11,3611.5804830973348,0.975
TP_z06_03,11,5076.38843615878,0.97
TP_z06_03,11,6484.284682787201,0.965
TP_z06_03,11,8013.882571897197,0.96
TP_z06_03,11,9612.803333097825,0.955
TP_z06_03,11,10822.774448420598,0.95
TP_z08_01,12,2.1316282072803006e-14,1.0
TP_z08_01,12,908.87492448492,0.995
TP_z08_01,12,1977.6709935285633,0.99
TP_z08_01,12,3157.3931324938503,0.985
TP_z08_01,12,4982.422538277035,0.98
TP_z08_01,12,6801.985106121523,0.975
TP_z08_01,12,9118.916645683697,0.97
TP_z08_01,12,11070.013409705216,0.965
TP_z08_01,12,13344.61195616615,0.96
TP_z08_01,12,15304.552953891181,0.955
TP_z08_01,12,16606.368954486126,0.95
TP_z08_02,13,2.1316282072803006e-14,1.0
TP_z08_02,13,910.5943341284496,0.995
TP_z08_02,13,2058.5672472964775,0.99
TP_z08_02,13,3501.916005989483,0.985
TP_z08_02,13,5292.906750204946,0.98
TP_z08_02,13,7230.661142285965,0.975
TP_z08_02,13,9405.017996904013,0.97
TP_z08_02,13,11398.914579416816,0.965
TP_z08_02,13,13529.658911612021,0.96
TP_z08_02,13,15391.603305156168,0.955
TP_z08_02,13,16594.259795160022,0.95
TP_z08_03,14,3.197442310920451e-14,1.0
TP_z08_03,14,556.7652412532916,0.995
TP_z08_03,14,1369.2217849686615,0.99
TP_z08_03,14,2511.6213959515194,0.985
TP_z08_03,14,3881.782265119412,0.98
TP_z08_03,14,5530.584075439955,0.975
TP_z08_03,14,7308.602385552297,0.97
TP_z08_03,14,9289.058715408715,0.965
TP_z08_03,14,11189.052201002587,0.96
TP_z08_03,14,13373.865034796725,0.955
TP_z08_03,14,15101.595133748458,0.95
TP_z10_01,15,0.0,1.0
TP_z10_01,15,72.90166550721737,0.995
TP_z10_01,15,258.66436635263983,0.99
TP_z10_01,15,507.87465902192275,0.985
TP_z10_01,15,947.9094753695508,0.98
TP_z10_01,15,1558.3124294795343,0.975
TP_z10_01,15,2413.869045270982,0.97
TP_z10_01,15,3359.7104249191957,0.965
TP_z10_01,15,4531.398829710162,0.96
TP_z10_01,15,6021.918774886535,0.955
TP_z10_01,15,7839.073416863805,0.95
TP_z10_02,16,4.263256414560601e-14,1.0
TP_z10_02,16,151.52235739387746,0.995
TP_z10_02,16,400.3038829568247,0.99
TP_z10_02,16,734.9297934726611,0.985
TP_z10_02,16,1207.0644723048315,0.98
TP_z10_02,16,1832.7825086920966,0.975
TP_z10_02,16,2658.683499535549,0.97
TP_z10_02,16,3600.7111112731877,0.965
TP_z10_02,16,4818.835807865581,0.96
TP_z10_02,16,6233.329511243486,0.955
TP_z10_02,16,7765.34408029702,0.95
TP_z10_03,17,7.105427357601002e-14,1.0
TP_z10_03,17,232.43724499864177,0.995
TP_z10_03,17,531.0750490407056,0.99
TP_z10_03,17,904.2760660639784,0.985
TP_z10_03,17,1470.276817195111,0.98
TP_z10_03,17,2122.334018874243,0.975
TP_z10_03,17,2969.361728374057,0.97
TP_z10_03,17,4059.653915590262,0.965
TP_z10_03,17,5448.51032298407,0.96
TP_z10_03,17,7277.397266771262,0.955
TP_z10_03,17,9053.331738026598,0.95
TP_z13_02,18,7.105427357601002e-14,1.0
TP_z13_02,18,173.66835270389967,0.995
TP_z13_02,18,435.0713209402686,0.99
TP_z13_02,18,824.8179535138129,0.985
TP_z13_02,18,1423.0305155271508,0.98
TP_z13_02,18,2071.6744632921764,0.975
TP_z13_02,18,3037.0533890606266,0.97
TP_z13_02,18,4257.276482665293,0.965
TP_z13_02,18,5486.385876065807,0.96
TP_z13_02,18,6908.547714986962,0.955
TP_z13_02,18,9185.827317597097,0.95
TP_z13_03,19,5.684341886080802e-14,1.0
TP_z13_03,19,181.59275532725553,0.995
TP_z13_03,19,440.0707157411336,0.99
TP_z13_03,19,807.3891794841263,0.985
TP_z13_03,19,1429.3401643362577,0.98
TP_z13_03,19,2221.8479371820995,0.975
TP_z13_03,19,2927.6992159826527,0.97
TP_z13_03,19,3920.972414125588,0.965
TP_z13_03,19,5385.023127894594,0.96
