Group,Cell,Chg C-rate,Dchg C-rate,DoD,Lifetime,Q_initial,Q_ini_V_low,Q_ini_V_mid,Q_ini_V_high,CV_time_0,CV_time_5,delta_CV_time_5_0,capacity_fade_5_0,var_deltaQ_dchg_5_0,mean_deltaQ_dchg_5_0,var_dqdv_dchg_5_0,mean_dqdv_dchg_5_0,var_dqdv_dchg_low_5_0,mean_dqdv_dchg_low_5_0,var_dqdv_dchg_mid_5_0,mean_dqdv_dchg_mid_5_0,var_dqdv_dchg_high_5_0,mean_dqdv_dchg_high_5_0,delta_Q_DVA1,delta_Q_DVA2,delta_Q_DVA3,delta_Q_DVA4,chg_stress,dchg_stress,avg_stress,multi_stress
G10,G10C1,2.5,0.5,0.4696920253226985,15.046,0.2827415,-0.07482132702996502,-0.1149467694813781,-0.09285249462742359,809.0,679.0,-130.0,0.041706833333333304,0.00028148843696329404,-0.024089184997834287,0.003398556755398109,0.035290047385863055,0.002314160372461679,0.024830547587368013,0.0021152286289675215,0.05415393876570774,0.006299653728059299,0.03776145763794678,-0.007875782166625434,0.00888896377829379,0.031745193276142974,0.03962097544276841,1.083618965922407,0.48460913390210597,0.7841140499122564,0.5251316485555533
G10,G10C2,2.5,0.5,0.4755621125277811,20.141,0.28496666666666665,-0.07562784374813591,-0.1147434610424256,-0.09455431881316219,871.0,654.0,-217.0,0.03653727777777774,0.00021852596553369047,-0.02162490925052507,0.0031449954713468516,0.030968593209408583,0.00200997861937648,0.01993429209313158,0.0016679197334809142,0.04984237383129346,0.006295533530511945,0.03449930605021268,-0.003291002684322808,0.010396229586927597,0.02632035281957698,0.02961135550389979,1.0903693325288697,0.48762798962312504,0.7889986610759974,0.5316946055677615
G10,G10C3,2.5,0.5,0.4839266676511732,14.177,0.28478261111111114,-0.0764287958552689,-0.1150676881198345,-0.09337012179243627,844.0,729.0,-115.0,0.03390266666666669,0.00018147173771988916,-0.021353782803458246,0.002292139979280968,0.028689230027853202,0.0010893165007074788,0.014803287551151519,0.0015084275509504707,0.05253259409706368,0.004519386161192323,0.032892468025338746,0.0032565278993896274,0.012555487912167679,0.022986393112635534,0.019729865213245906,1.099916664628704,0.49189768633892417,0.7959071754838141,0.5410464624964859
G10,G10C4,2.5,0.5,0.4590519502891597,24.956,0.2821875,-0.077619675850428,-0.1153326993905692,-0.0895558088734422,980.0,671.0,-309.0,0.0321881944444444,0.00018545584851685092,-0.01875632738675293,0.0022456832029136026,0.027473694162329226,0.0014896051286218718,0.018767225008440396,0.0010293941511898353,0.05348169302544366,0.004095332844779308,0.01920472690077109,-0.0080106373980747,0.01047449350107238,0.023476224568911408,0.03148686196698611,1.0712748833622951,0.4790886923572501,0.7751817878597727,0.5132356830252076
G12,G12C1,3.0,0.5,0.2898014170089104,17.421,0.2891458333333333,-0.07627246664194332,-0.11670432428022269,-0.0961014662575016,875.0,603.0,-272.0,0.04459027777777777,0.0003453631851627864,-0.023593948964760456,0.003672347770818086,0.03782011603553266,0.0036729886981634713,0.03454599707247755,0.0038707560130511486,0.05224362248475254,0.003248933832994368,0.03048956671280255,-0.006128754158041122,0.003369375643983208,0.04288668779790139,0.04901544195594251,0.9324184956481351,0.3806582568452381,0.6565383762466865,0.3549327992036783
G12,G12C3,3.0,0.5,0.2724205304964677,18.124,0.2844819444444444,-0.07590164720318607,-0.11620720210966831,-0.09241616592568506,830.0,617.0,-213.0,0.038069444444444406,0.0002778916053574308,-0.019484626755599106,0.003785729838431037,0.032306623078083935,0.0035173142150099713,0.030738872261802195,0.0042460556888214715,0.04746511055659864,0.00355256994753359,0.02082066701378637,-0.00816887124191279,-0.0011904534405635936,0.04009890055255719,0.04826777179446998,0.9040252161800594,0.3690667490417335,0.6365459826108965,0.33364564758732485
G12,G12C4,3.0,0.5,0.2870518023862095,23.112,0.2836902777777778,-0.07721255918574302,-0.11386452382998428,-0.09254329539306011,847.0,603.0,-244.0,0.03663472222222222,0.0002341706915995169,-0.019268959193156517,0.003288774900726381,0.03101490246972836,0.0035569705605722605,0.029043978640778793,0.0027251712264707477,0.040838238642626264,0.003211885306232593,0.02554908372802199,-0.006774435736846468,0.0028592423085804786,0.03438158412399053,0.041156019860837,0.9279845942463852,0.3788481241778884,0.6534163592121368,0.35156522279622193
G13,G13C1,3.0,0.5,0.4631559870806273,12.706,0.2808013888888889,-0.07680808273568618,-0.11566094376383432,-0.08869174757373549,1053.0,650.0,-403.0,0.05539444444444447,0.0005145991290468196,-0.029951601627070404,0.004667071292576518,0.047209738514799586,0.004503458070782871,0.042401972625553834,0.0026494591874654545,0.07277109467528751,0.006150804806597969,0.03187193881810538,-0.009443114762518134,0.007290919352551106,0.0483232635332696,0.057766378295787735,1.1787569559675486,0.48122551214613885,0.8299912340568437,0.5672479198313072
G13,G13C2,3.0,0.5,0.478860193,19.663,0.2848777777777778,-0.07648179040545727,-0.11744448500262751,-0.0912902897796399,988.0,631.0,-357.0,0.042151027777777766,0.00031274669733816256,-0.023802988359808874,0.003491842775708605,0.03602944777714699,0.0026585840680447555,0.026930978953603524,0.001907393046348192,0.064192979706931,0.005734056706799837,0.0265285964853802,-0.007714626914652384,0.01228447955548262,0.03166615245204457,0.039380779366696955,1.1985743944369909,0.4893159475226615,0.8439451709798262,0.5864815654903364
G13,G13C3,3.0,0.5,0.4758876566665193,14.387,0.2829125,-0.07700328689914529,-0.1162288605228256,-0.090042521677691,1067.0,673.0,-394.0,0.041677777777777786,0.0003066114676838908,-0.023263601874472052,0.003347303459924814,0.035619109839342765,0.002843271162090795,0.028051476879327086,0.001493122591332047,0.06065349239375057,0.005417967656798991,0.0261770243705089,-0.008580239907194004,0.009670077925672593,0.033254061198979834,0.04183430110617384,1.1948485134106155,0.4877948629631719,0.8413216881868937,0.5828409668608808
